entity_id,entity_type,page_relpath,source_trust,evidence_coverage,authority_level,risk_class,usage_scope,positive_generation_allowed,negative_trap_allowed,evaluation_allowed,requires_rule_cards,allowed_question_types,blocked_question_types,source_ids,rule_card_ids,missing_critical_fields
DIS-001,disease,wiki/diseases/DIS-001-adenoviruses.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0030,,
DIS-002,disease,wiki/diseases/DIS-002-african-swine-fever-virus.md,authoritative,complete,SRC,high_regulatory,retrieval;diagnosis_support;differential_support;control_support;regulatory_boundary,false,true,true,RC-CITATION-001;RC-DISEASE-REGULATORY-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_high_risk_positive_claim;unsupported_regulatory_action;withdrawal_mrl,SRC-0008,RC-CITATION-001;RC-DISEASE-REGULATORY-001,
DIS-003,disease,wiki/diseases/DIS-003-anelloviruses-torque-teno-sus-viruses.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0008,,
DIS-004,disease,wiki/diseases/DIS-004-astroviruses.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0008,RC-CITATION-001,
DIS-005,disease,wiki/diseases/DIS-005-bunyaviruses-akabane-lumbo-oya-tahyna.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0008,,
DIS-006,disease,wiki/diseases/DIS-006-caliciviruses-norovirus-sapovirus-vesicular-exanthema-virus.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0008,,
DIS-007,disease,wiki/diseases/DIS-007-circoviruses-pcvad.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0035,RC-CITATION-001,
DIS-008,disease,wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0008,RC-CITATION-001,
DIS-009,disease,wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0008,RC-CITATION-001,
DIS-010,disease,wiki/diseases/DIS-010-porcine-deltacoronavirus.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0037,,
DIS-011,disease,wiki/diseases/DIS-011-hemagglutinating-encephalomyelitis-virus.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0037,RC-CITATION-001,
DIS-012,disease,wiki/diseases/DIS-012-porcine-respiratory-coronavirus.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0036,,
DIS-013,disease,wiki/diseases/DIS-013-porcine-torovirus.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0037,,
DIS-014,disease,wiki/diseases/DIS-014-filoviruses-reston-ebolavirus-zaire-ebolavirus.md,authoritative,partial,SRC,high_regulatory,retrieval;gap_routing;audit_only,false,true,false,RC-DISEASE-REGULATORY-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_high_risk_positive_claim;unsupported_regulatory_action;withdrawal_mrl,SRC-0008,RC-DISEASE-REGULATORY-001,
DIS-015,disease,wiki/diseases/DIS-015-japanese-encephalitis-virus.md,authoritative,complete,SRC,high_regulatory,retrieval;diagnosis_support;differential_support;control_support;regulatory_boundary,false,true,true,RC-CITATION-001;RC-DISEASE-REGULATORY-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_high_risk_positive_claim;unsupported_regulatory_action;withdrawal_mrl,SRC-0008,RC-CITATION-001;RC-DISEASE-REGULATORY-001,
DIS-016,disease,wiki/diseases/DIS-016-west-nile-virus-and-other-flaviviruses.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0008,,
DIS-017,disease,wiki/diseases/DIS-017-hepatitis-e-virus.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0008,,
DIS-018,disease,wiki/diseases/DIS-018-pseudorabies-aujeszky-disease.md,authoritative,complete,SRC,high_regulatory,retrieval;diagnosis_support;differential_support;control_support;regulatory_boundary,false,true,true,RC-CITATION-001;RC-DISEASE-REGULATORY-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_high_risk_positive_claim;unsupported_regulatory_action;withdrawal_mrl,SRC-0008,RC-CITATION-001;RC-DISEASE-REGULATORY-001,
DIS-019,disease,wiki/diseases/DIS-019-porcine-cytomegalovirus.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0041,,
DIS-020,disease,wiki/diseases/DIS-020-malignant-catarrhal-fever-ovine-herpesvirus-2.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0041,,
DIS-021,disease,wiki/diseases/DIS-021-influenza-viruses.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0009,RC-CITATION-001,
DIS-022,disease,wiki/diseases/DIS-022-paramyxoviruses.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0044,,
DIS-023,disease,wiki/diseases/DIS-023-parvoviruses.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0045,RC-CITATION-001,
DIS-024,disease,wiki/diseases/DIS-024-classical-swine-fever-pestiviruses.md,authoritative,complete,SRC,high_regulatory,retrieval;diagnosis_support;differential_support;control_support;regulatory_boundary,false,true,true,RC-CITATION-001;RC-DISEASE-REGULATORY-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_high_risk_positive_claim;unsupported_regulatory_action;withdrawal_mrl,SRC-0046,RC-CITATION-001;RC-DISEASE-REGULATORY-001,
DIS-025,disease,wiki/diseases/DIS-025-atypical-porcine-pestivirus-pestivirus-infections.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0046,,
DIS-026,disease,wiki/diseases/DIS-026-foot-and-mouth-disease-picornaviruses.md,authoritative,complete,SRC,high_regulatory,retrieval;diagnosis_support;differential_support;control_support;regulatory_boundary,false,true,true,RC-CITATION-001;RC-DISEASE-REGULATORY-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_high_risk_positive_claim;unsupported_regulatory_action;withdrawal_mrl,SRC-0047,RC-CITATION-001;RC-DISEASE-REGULATORY-001,
DIS-027,disease,wiki/diseases/DIS-027-senecavirus-a-picornaviruses.md,authoritative,partial,SRC,high_regulatory,retrieval;gap_routing;audit_only,false,true,false,RC-DISEASE-REGULATORY-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_high_risk_positive_claim;unsupported_regulatory_action;withdrawal_mrl,SRC-0048,RC-DISEASE-REGULATORY-001,
DIS-028,disease,wiki/diseases/DIS-028-porcine-reproductive-and-respiratory-syndrome-viruses.md,authoritative,complete,SRC,high_regulatory,retrieval;diagnosis_support;differential_support;control_support;regulatory_boundary,false,true,true,RC-CITATION-001;RC-DISEASE-REGULATORY-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_high_risk_positive_claim;unsupported_regulatory_action;withdrawal_mrl,SRC-0049,RC-CITATION-001;RC-DISEASE-REGULATORY-001,
DIS-029,disease,wiki/diseases/DIS-029-swinepox-virus.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0051,,
DIS-030,disease,wiki/diseases/DIS-030-rotaviruses-and-reoviruses.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0052,RC-CITATION-001,
DIS-031,disease,wiki/diseases/DIS-031-retroviruses.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0053,,
DIS-032,disease,wiki/diseases/DIS-032-rabies-virus.md,authoritative,partial,SRC,high_regulatory,retrieval;gap_routing;audit_only,false,true,false,RC-DISEASE-REGULATORY-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_high_risk_positive_claim;unsupported_regulatory_action;withdrawal_mrl,SRC-0054,RC-DISEASE-REGULATORY-001,
DIS-033,disease,wiki/diseases/DIS-033-vesicular-stomatitis-viruses.md,authoritative,complete,SRC,high_regulatory,retrieval;diagnosis_support;differential_support;control_support;regulatory_boundary,false,true,true,RC-CITATION-001;RC-DISEASE-REGULATORY-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_high_risk_positive_claim;unsupported_regulatory_action;withdrawal_mrl,SRC-0054,RC-CITATION-001;RC-DISEASE-REGULATORY-001,
DIS-034,disease,wiki/diseases/DIS-034-togaviruses-getah-sagiyama-ross-river-eee.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0055,,
DIS-035,disease,wiki/diseases/DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0058,RC-CITATION-001,
DIS-036,disease,wiki/diseases/DIS-036-actinobacillus-suis-septicemia-pleuropneumonia.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0058,,
DIS-037,disease,wiki/diseases/DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0059,RC-CITATION-001,
DIS-038,disease,wiki/diseases/DIS-038-brucella-suis-brucellosis.md,authoritative,partial,SRC,high_regulatory,retrieval;gap_routing;audit_only,false,true,false,RC-DISEASE-REGULATORY-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_high_risk_positive_claim;unsupported_regulatory_action;withdrawal_mrl,SRC-0060,RC-DISEASE-REGULATORY-001,
DIS-039,disease,wiki/diseases/DIS-039-clostridial-diseases.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0062,RC-CITATION-001,
DIS-040,disease,wiki/diseases/DIS-040-colibacillosis.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0063,RC-CITATION-001,
DIS-041,disease,wiki/diseases/DIS-041-neonatal-post-weaning-colibacillosis.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0063,RC-CITATION-001,
DIS-042,disease,wiki/diseases/DIS-042-edema-disease-e-coli.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0063,RC-CITATION-001,
DIS-043,disease,wiki/diseases/DIS-043-erysipelas.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0065,RC-CITATION-001,
DIS-044,disease,wiki/diseases/DIS-044-gl-sser-s-disease.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0066,RC-CITATION-001,
DIS-045,disease,wiki/diseases/DIS-045-leptospirosis.md,authoritative,complete,SRC,high_regulatory,retrieval;diagnosis_support;differential_support;control_support;regulatory_boundary,false,true,true,RC-CITATION-001;RC-DISEASE-REGULATORY-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_high_risk_positive_claim;unsupported_regulatory_action;withdrawal_mrl,SRC-0008,RC-CITATION-001;RC-DISEASE-REGULATORY-001,
DIS-046,disease,wiki/diseases/DIS-046-mycoplasmosis-enzootic-pneumonia.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0069,RC-CITATION-001,
DIS-047,disease,wiki/diseases/DIS-047-pasteurellosis.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0070,RC-CITATION-001,
DIS-048,disease,wiki/diseases/DIS-048-proliferative-enteropathy-lawsonia-intracellularis.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0071,RC-CITATION-001,
DIS-049,disease,wiki/diseases/DIS-049-salmonellosis.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0073,RC-CITATION-001,
DIS-050,disease,wiki/diseases/DIS-050-staphylococcosis-exudative-epidermitis.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0074,RC-CITATION-001,
DIS-051,disease,wiki/diseases/DIS-051-streptococcosis-streptococcus-suis.md,authoritative,complete,SRC,high_regulatory,retrieval;diagnosis_support;differential_support;control_support;regulatory_boundary,false,true,true,RC-CITATION-001;RC-DISEASE-REGULATORY-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_high_risk_positive_claim;unsupported_regulatory_action;withdrawal_mrl,SRC-0075,RC-CITATION-001;RC-DISEASE-REGULATORY-001,
