fact_id,source_id,fact_type,page,page_method,line_start,line_end,chapter,heading,disease_page,drug_mentions,text
VTOP-TX-0001,SRC-0088,withdrawal_or_meat_withhold,15,index,621,621,Animal Husbandry,Manure disposal,,,"Standard Objective evidence Traceability The onus is on the pig keeper to record all movements either on or off the premises in the movement book. The pig keeper also has to record all medicines and their batch numbers given to the pigs Tail docking This is not advised and is permitted only on a written order from a veterinary surgeon that it needs to be performed on disease control grounds, for a limited period, until the situation is brought under control Teeth clipping This is no longer advised unless there is a specific problem. It should not be encouraged long term Castration This is not advised in a commercial situation. In a specific niche market where late maturing pig breeds are being kept, chemical castration should be considered (see Chapter 5, p. 48). Castration is advised only in pet pigs. In that situation the operation should be performed as early as possible at approximately 2 weeks of age Prophylactic antibiotics These are now banned in the EU and should be strongly discouraged in other areas of the world Segregation of incoming pigs Welfare This should be mandatory with as long an isolation period as possible A single person should be delegated as welfare officer. Any breaches of welfare standards should be recorded and new Standard Operating Procedures (SOPs) should be implemented as soon as possible Regular inspection of pigs Obligatory twice daily. More frequent inspections are required for parturient animals Medicine record book Obligatory Knowledge of broken needle protocol This should be available in writing (see below) Withdrawal periods for medicines These must be recorded for all medicines in the medicine record book. It should be remembered that any medicine used off licence has a meat withhold of 28 days Records of births and deaths This is "
VTOP-TX-0002,SRC-0088,dose_or_route,21,index,714,714,Animal Husbandry,Ear biting,DIS-028-porcine-reproductive-and-respiratory-syndrome-viruses.md,iron,"This is more commonly seen in aggressive breeds. Removal of the sharp enamel points on the canine teeth soon after birth often does not help this vice, which is often seen soon after weaning. Poor palatability of diets tends to cause poor growth rate, unthriftiness and an increased attraction to blood. Low iron levels might also increase the attraction to blood. Nowadays all indoor pigs receive an injection of 1 ml of iron dextran soon after birth and so iron levels are adequate during the suckling period. However, if levels of iron in the creep are not adequate then pigs may show this vice in the immediate post-weaning period. Ear biting may be seen in pigs which have skin lesions as a result of porcine reproductive and respiratory syndrome (PRRS)."
VTOP-TX-0003,SRC-0088,vaccination,22,index,746,746,Animal Husbandry,Farrowing,,iron,"that the spare pairs can be stored in disinfectant. Needles for iron injections and any vaccinations should be regularly changed. One per litter should be considered as a minimum. Sows/gilts should be given a good wash and treated for parasites before entering the farrowing house. Parasitic burdens in the sow result in the animal becoming disadvantaged or in poor condition. In this state its colostrum levels might be compromised, having a detrimental effect on the piglets."
VTOP-TX-0004,SRC-0088,dose_or_route,23,index,770,770,Animal Husbandry,Length of needle,,,"For adults and large pigs when injecting im a $4 \mathrm { \textrm { ~ } } \mathrm { c m }$ needle is required. Weaners when injected im will require a $2 . 5 ~ \mathrm { c m }$ needle and piglets will require a $1 \mathrm { \ c m }$ needle. For subcutaneous injection, e.g. when giving local anaesthetic above the mammary gland for a Caesarean section, a $5 \mathrm { c m }$ needle will be useful so that it can be advanced slowly injecting local anaesthetic continuously up to its full"
VTOP-TX-0005,SRC-0088,withdrawal_or_meat_withhold,24,chapter_interpolated,798,798,Animal Husbandry,Needle breaks,,,"If the pig is of adequate size and has not received medicine which has too long a meat withhold, it can be slaughtered within 7 days:"
VTOP-TX-0006,SRC-0088,treatment_candidate,25,index,843,843,Animal Husbandry,Farrowing index,,,The length of time it takes for normal sows to return to oestrus after weaning (this is normally 6 days but may be shorter particularly with the correct use of hormone injection; see Chapter 10).
VTOP-TX-0007,SRC-0088,dose_or_route,29,index,929,929,2 Nutrition,Hypoglycaemia,,,"This is seen in neonatal pigs which have not received adequate energy, e.g. in very cold conditions when a sow has farrowed outside in winter. Convulsions will be seen in piglets. Hypoglycaemia can also be brought on by low levels of various infections in piglets. The farrowing fever complex syndrome, which will decrease milk output, will put piglets at risk. Treatment is proprietary energy fluids by mouth or in extreme cases injections of $1 5 \mathrm { m l }$ of $5 \%$ w/w glucose intraperitoneally (ip) every 4 h."
VTOP-TX-0008,SRC-0088,dose_or_route,38,index,1178,1178,4 Veterinary Equipment,Equipment for Treatment,,,There are automatic injection systems which allow up to $2 0 \mathrm { m l }$ to be injected im from up to $1 . 5 ~ \mathrm { m }$ away. These are very effective. Some practitioners inject unrestrained pigs by the use of a piece of extension tubing connected between the needle and the syringe.
VTOP-TX-0009,SRC-0088,euthanasia,38,index,1188,1188,4 Veterinary Equipment,Equipment for Treatment,,,Spinal needles $1 5 \mathrm { c m }$ in length with luer fitting are required for euthanasia. A $2 5 ~ \mathrm { c m }$ seaton needle with uterine tape is needed to place a ‘Buhner suture’ for vaginal and uterine prolapses. A $1 5 \mathrm { c m }$ curved cutting edged suturing needle with braided nylon suture material is required for purse string sutures in pigs with rectal prolapses.
VTOP-TX-0010,SRC-0088,dose_or_route,41,index,1281,1281,4 Veterinary Equipment,A dedicated box for Caesarean section,,oxytocin,$1 \times 2 5 \ \mathrm { m l }$ oxytocin injection containing $1 0 \mathrm { I U / m l }$ .
VTOP-TX-0011,SRC-0088,dose_or_route,41,index,1282,1282,4 Veterinary Equipment,A dedicated box for Caesarean section,,,• $1 \times 1 0 0 \mathrm { m l }$ water for injection.
VTOP-TX-0012,SRC-0088,dose_or_route,41,index,1289,1289,4 Veterinary Equipment,A dedicated box for Caesarean section,,,100 ml bottle of an injectable non-steroidal anti-inflammatory drug (NSAID) licensed for pigs.
VTOP-TX-0013,SRC-0088,vaccination,47,index,1320,1320,5 Vaccines,Introduction,DIS-039-clostridial-diseases.md,,"Vaccine Age of pig Disease controlled Importance Extra details Actinobacillus pleuropneumoniae Growers Acute respiratory disease caused by A. pleuropneumoniae Very important when the disease is confirmed on a holding No licensed vaccine in the UK but vaccine available elsewhere and can be made under licence in the UK Atrophic rhinitis Breeding animals to protect piglets Rhinitis caused by Pasteurella multocida type D This is important to protect weaners on infected farms Not to be given unless the diagnosis is confirmed Aujeszky's disease Growers and breeders To protect against all types of the disease This is not justified in most countries No licensed vaccine available in the UK Chemical castration Boars over 8 weeks of age Boar taint, aggression and mounting behaviour Only if slaughter is to be delayed Not to be used in boars to be kept for breeding Classical swine fever (CSF) All pigs To protect against all types of the disease Very worthwhile in countries where the disease is endemic Not licensed in the UK Clostridial disease Breeding animals to protect piglets and to protect breeding animals Neonatal scour due to Clostridium perfringens and sudden death in adults due to Clostridium novyi Very important in outdoor pigs. Rarely required in indoor pigs A vaccine linked with anE.coli vaccine and a vaccine against clostridial disease on its own are both available in the UK Escherichia coli Breeding animals to protect piglets Neonatal scour caused byE. coli Extremely important if piglets are becoming infected Often linked with clostridial vaccine. It is vital that the vaccine contains the correct K antigens Erysipelas All pigs over 6 weeks of age All types of erysipelas Vital for all pigs whether indoors or outdoors Particularly important for smallholder pigs. Often lin"
VTOP-TX-0014,SRC-0088,vaccination,21,index,1324,1324,5 Vaccines,Introduction,DIS-009-transmissible-gastroenteritis-virus.md,,Vaccine Age of pig Disease controlled Importance Extra details Lawsonia intracellularis All pigs over 3 weeks of age L. intracellularis Important where the disease occurs Is given in the drinking water Mycoplasma hyopneumoniae All pigs over 7 days of age Enzootic pneumonia Extremely important Can be given with H. parasuis vaccination Porcine circovirus All pigs over 2 weeks of age Post-weaning multisystemic wasting syndrome (PMWS) Extremely important Careful consideration needs to be given to the timing of the vaccination Porcine parvovirus Breeding animals to prevent reproductive problems Parvovirus Extremely important Can be linked with erysipelas vaccination Porcine reproductive and respiratory syndrome (PRRS) Breeding animals to prevent reproductive problems Prevent blue ear disease Very important Vaccines used should be regularly monitored as new strains emerge Rotavirus Breeding animals to protect piglets Rotavirus Only important in specific situations There is a combined vaccine with TGE and E. coli but it is not licensed in the UK Salmonella For growing and fattening pigs Salmonella choleraesuis and Salmonella typhimurium Herd plan is much more important Not available in the UK Swine flu All ages of pig over 8 weeks Swine influenza A virus Of limited use Timing of vaccination is important Tetanus toxoid All ages of pig over 3 months of age Tetanus Normally not important in pigs This should not be used as a routine but only when tetanus is a massive threat Transmissible gastroenteritis (TGE) Breeding animals to protect piglets TGE Not important in the UK No licensed vaccine available in UK
VTOP-TX-0015,SRC-0088,vaccination,45,chapter_interpolated,1332,1332,5 Vaccines,Introduction,,,The vast majority of vaccines administered to pigs are given by injection and so vaccines tend to be administered at times
VTOP-TX-0016,SRC-0088,vaccination,45,chapter_interpolated,1334,1334,5 Vaccines,Introduction,,,"in the pig flow cycle when animals are handled or moved. At such times the dangers of operator self-injection are always present, particularly when large numbers of animals are being vaccinated. Self-injection of oil-based vaccines requires immediate medical attention."
VTOP-TX-0017,SRC-0088,treatment_candidate,45,chapter_interpolated,1336,1336,5 Vaccines,Introduction,,,Needles must be changed regularly to avoid sepsis not only at the site of injection in the pig but also if there is self-injection.
VTOP-TX-0018,SRC-0088,vaccination,46,index,1342,1342,5 Vaccines,Erysipelothrix rhusiopathiae and porcine parvovirus,,,"Pigs from 6 weeks of age should be given two injections, 4 weeks apart, of E. rhusiopathiae vaccine. A single injection of the combined vaccine should be given at least 2 weeks before mating. Then sows should receive a booster of the E. rhusiopathiae vaccine every 6 months, with the combined vaccine of E. rhusiopathiae plus porcine parvovirus (PPV) being given annually."
VTOP-TX-0019,SRC-0088,treatment_candidate,46,index,1346,1346,5 Vaccines,Porcine parvovirus,,,"Gilts and young boars over 6 months of age should be given a single dose, 2 weeks before mating. Sows and boars require a booster dose annually."
VTOP-TX-0020,SRC-0088,vaccination,21,index,1350,1350,5 Vaccines,Porcine reproductive and respiratory syndrome,DIS-028-porcine-reproductive-and-respiratory-syndrome-viruses.md,,"For a primary vaccination course gilts require two injections 3–4 weeks apart, at least 3 weeks before mating. Sows require two injections 3–4 weeks apart. Vaccination of all sows in the herd within a short period is recommended. Revaccination is one injection at 60–70 days of each pregnancy, starting from the first pregnancy following the primary vaccination course."
VTOP-TX-0021,SRC-0088,vaccination,22,index,1356,1356,5 Vaccines,Introduction,,,The piglet is born with no bacterial flora in its intestine and potentially damaging organisms will begin to colonize the gut from birth onwards. Vaccines that are given to the sow or the gilt prior to farrowing aim to ensure colostral antibodies are well targeted to combat these organisms. Certain authorities advocate feedback attempts to work in a similar manner. However this is dangerous as other diseases may be spread inadvertently.
VTOP-TX-0022,SRC-0088,vaccination,46,index,1360,1360,5 Vaccines,Atrophic rhinitis,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,,A primary vaccination schedule is two injections separated by 6 weeks. Revaccination is one dose to be given to the sow ideally 2–6 weeks before farrowing.
VTOP-TX-0023,SRC-0088,vaccination,46,index,1364,1364,5 Vaccines,Aujeszky’s disease,DIS-018-pseudorabies-aujeszky-disease.md,,Protection can be achieved by a single injection from the age of 14 weeks. Revaccination should be carried out on a herd basis every 4 months.
