fact_id,fact_type,subject,predicate,object,fact_confidence,evidence_source,evidence_source_id,evidence_url,evidence_quote_span,evidence_coverage,applies_to_species,applies_to_stage,jurisdiction
RAU3-COMBO-c5d0ea1a,tcm_combination_contraindication,肉桂,has_combination_or_contraindication,① 与附子、熟地黄、山茱萸等同用，如肾气丸、右归饮，常用治肾阳不足、命门火衰的腰膝冷痛、夜尿频多者，可用本品以引火归源；与山茱萸、五味子、人参、牡蛎等同用，治下元虚衰、虚阳上浮的面赤、虚喘、汗出、心悸、失眠、脉微弱。 ② 与干姜、高良姜、荜茞等同用，治寒邪内侵或脾胃虚寒的脘腹冷痛；与附子、人参、干姜等同用，如桂附理中丸，用于脾肾阳虚的腹痛呕吐、四肢厥冷、大便溏泄；与吴茱萸、小茴香等同用，可治寒疝腹痛。 ③ 与独活、桑寄生、杜仲等同用，如独活寄生汤，用于风寒湿痹，尤宜治寒痹腰痛；与附子、干姜、川椒等同用，可治胸阳不振、寒邪内侵的胸痹心痛；与鹿角胶、炮姜、麻黄等同用，如阳和汤，治阳虚寒凝之阴疽，亦取本品甘热助阳以补虚、辛热散寒以通脉。 ...,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.401; line=1; section=第三节 温里药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-c5d0ea1a,tcm_caution_contraindication,肉桂,has_use_caution,① 阴虚火旺、里有实热、血热妄行出血的患畜禁用。 ② 孕畜禁服。 ③ 本品畏赤石脂。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.401; line=1; section=第三节 温里药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-8a999067,tcm_combination_contraindication,吴茱萸,has_combination_or_contraindication,① 与小茴香、川楝子、木香等配伍，如《医方简义》导气汤，可治寒疝腹痛；与桂枝、当归、川芎等同用，如温经汤，治冲任虚寒、瘀血阻滞。 ② 与人参、生姜等同用，如吴茱萸汤，治中焦虚寒之脘腹冷痛、呕吐泛酸；与半夏、生姜等同用，用于外寒内侵、胃失和降之呕吐。 ③ 多与补骨脂、肉豆蔻、五味子等同用，如四神丸，能温脾 益肾、助阳止泻，为治脾肾阳虚、五更泄泻之常用药，用于虚寒泄泻证。 ④ 吴茱萸不宜与组胺受体阻断剂及肾上腺素类西药同服，吴茱萸使外周血管扩张和促进组胺释放而具有降压作用，可与苯海拉明、肾上腺素、去甲肾上腺素等药物产生拮抗。 ⑤ 吴茱萸不宜与单胺氧化酶抑制剂同用，吴茱萸中含单胺类物质，并且吴茱萸能促进组胺释放，在应用单胺氧化酶抑制剂时，...,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.401; line=25; section=第三节 温里药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-8a999067,tcm_caution_contraindication,吴茱萸,has_use_caution,① 本品辛热燥烈，易耗气动火，故不宜多用、久服。 ② 血虚有热及孕畜慎用。 ③ 外用适量。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.401; line=25; section=第三节 温里药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-7d792546,tcm_combination_contraindication,花椒,has_combination_or_contraindication,① 与生姜、白豆蔻等同用，用于外寒内侵、胃寒腹痛、呕吐；与干姜、人参等同用，如大建中汤，可治脾胃虚寒、脘腹冷痛、呕吐、不思饮食；与苍术、砂仁、草豆蔻等同用，用于治疗寒湿困中、腹痛吐泻。 ② 与乌梅、干姜、黄柏等同用，如乌梅丸，用于虫积腹痛、手足厥逆、烦闷吐蛔；与乌梅、框子、使君子等同用，用于虫积腹痛较轻者，可治幼畜蛲虫病。 ③ 与黄柏、苦参等药同用，用于治疗皮肤湿疹、疥癣等。 ④ 花椒含生物碱，不宜与碘离子制剂同用，易产生沉淀。 ⑤ 花椒含生物碱，不宜与碳酸氢钠等碱性较强的西药同用，影响溶解度，妨碍吸收。 ⑥ 花椒含生物碱，不宜与重金属药如碳酸钙、维丁胶、硫酸镁、硫酸亚铁、氢氧化铝、碳酸铋等同用，以免形成络合物，影响药物吸收。 ⑦ ...,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.403; line=52; section=第三节 温里药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-7d792546,tcm_caution_contraindication,花椒,has_use_caution,① 阴虚火旺的患畜忌用。 ② 本品外用适量。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.403; line=52; section=第三节 温里药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-c99f0e1e,tcm_combination_contraindication,小茴香,has_combination_or_contraindication,① 与干姜、木香等药同用，用于脾胃虚寒所致的草少、冷痛、吐涎、寒泻等。 ② 与肉桂、槟榔、白术、巴戟天、当归、牵牛子、藁本等同用，如茴香散，用于治疗寒伤腰胯所致的腰脊紧硬、冷拖后脚等。 ③ 与益智仁、白术、干姜等同用，芳香醒脾、开胃进食，用于治疗胃寒草少。 ④ 用小茴香、欧鼠李、甘草和碳酸铋、碳酸氢钠生产的“胃必治片”，用于胃十二指肠溃疡、胃酸过多、神经性消化不良、胃炎、胃痉挛等。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.404; line=80; section=第三节 温里药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-c99f0e1e,tcm_caution_contraindication,小茴香,has_use_caution,热证及阴虚火旺的患畜忌用。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.404; line=80; section=第三节 温里药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-17fe371d,tcm_combination_contraindication,丁香,has_combination_or_contraindication,① 与砂仁、白术同用，温胃散寒，长于降逆，为治胃寒呕逆之要药，用于治疗脾胃虚寒所致的食欲不振、泄泻等证。 ② 与附子、肉桂、巴戟天、肉苁蓉等同用，能温肾壮阳，用于治疗肾虚阳痿等证。 ③ 丁香不宜与阿托品同用，因抑制丁香的促进胃液分泌作用。 ④ 丁香不宜与巴比妥同用，甲基丁香酚有镇静作用，与巴比妥有协同效应，同用时易产生毒性反应。 ⑤ 丁香不宜与氯丙嗪同用，具有中枢抑制方面的协同作用，同用时会产生毒性反应。 ⑥ 丁香含挥发油，具有还原作用，不宜与硝酸甘油、硝酸异山梨酯等具有氧化性的药物联用，会使后者的药效丧失。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.405; line=103; section=第三节 温里药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-17fe371d,tcm_caution_contraindication,丁香,has_use_caution,① 胃热引起的呃逆或兼有口渴、口苦、口干的患畜慎用。 ② 热性病及阴虚内热的患畜忌用。 ③ 畏郁金。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.405; line=103; section=第三节 温里药,complete,swine,all_stages,China/handbook context
