source_id,title,url,authority_level,source_type,category,use,status,raw_relpath,sha256,bytes,http_status,content_type,error
A0-MOA-BANNED-DRUG-250-RAW,MOA Notice No. 250 banned drugs and compounds for food animals,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,official,html,china_prohibited_boundary,Chinese hard boundary for banned/prohibited substances; not treatment efficacy.,NEEDS_REVIEW,raw/urls/A0-MOA-BANNED-DRUG-250-RAW-moa-notice-no-250-banned-drugs-and-compounds-for-food-animals.html,403ba3d27f7c5dd2141b2fad2b279e5c78df18577f492053b3cd50e724de76b3,52332,200,text/html,
A0-MOA-STOP-FLUOROQUINOLONES-2292-RAW,MOA Notice No. 2292 stopping four fluoroquinolones for food animals,https://www.moa.gov.cn/govpublic/SYJ/201509/t20150907_4819267.htm,official,html,china_stopped_drug_boundary,"Chinese hard boundary for lomefloxacin, pefloxacin, ofloxacin and norfloxacin in food animals.",NEEDS_REVIEW,raw/urls/A0-MOA-STOP-FLUOROQUINOLONES-2292-RAW-moa-notice-no-2292-stopping-four-fluoroquinolones-for-food-animals.html,24c6bd18ab47965addec955b67b719ab48754824abc09b5786df5d55f515d13e,43524,200,text/html,
A0-MOA-STOP-OLAQUINDOX-2638-RAW,"MOA policy entry on stopping olaquindox, arsanilic acid and roxarsone in food animals",https://www.moa.gov.cn/xw/zwdt/201801/t20180119_6135358.htm,official,html,china_stopped_drug_boundary,"Chinese hard boundary for olaquindox and organic arsenicals; distinguish treatment, feed additive and growth-promotion contexts.",NEEDS_REVIEW,raw/urls/A0-MOA-STOP-OLAQUINDOX-2638-RAW-moa-policy-entry-on-stopping-olaquindox-arsanilic-acid-and-roxarsone-in-food-animals.html,2cf89dff3a05e1dc912dae30400875c70d39ba4dc025b6a86408d81d1c525418,58676,200,text/html,
A0-MOA-WITHDRAWAL-278-RAW,MOA Notice No. 278 withdrawal period provisions,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,official,html,china_withdrawal_boundary,Chinese withdrawal-period source entry; lower priority than current product labels and later notices.,NEEDS_REVIEW,raw/urls/A0-MOA-WITHDRAWAL-278-RAW-moa-notice-no-278-withdrawal-period-provisions.html,55f7d9e99b8e2d4e0e193b2f0275501e6d9c1ebd29cadbea6a0da48a8587e3e0,146,404,text/html,HTTP Error 404: Not Found
A0-MOA-MRL-GB31650-2019-RAW,MOA GB 31650-2019 veterinary drug maximum residue limits news entry,https://www.moa.gov.cn/xw/zwdt/201910/t20191008_6329518.htm,official,html,china_residue_boundary,Chinese MRL source entry; MRL existence does not equal swine approval.,NEEDS_REVIEW,raw/urls/A0-MOA-MRL-GB31650-2019-RAW-moa-gb-31650-2019-veterinary-drug-maximum-residue-limits-news-entry.html,018aea5888a5479ea61f5a333c75bf7e5649b0c567c096075108bc6b14604710,51173,200,text/html,
A1-WOAH-SWINE-AMR-TRD-2025,WOAH Technical Reference Document listing antimicrobial agents of veterinary importance for swine,https://www.woah.org/app/uploads/2025/04/trd-swine.pdf,guideline,pdf,amr_prudence_swine,Swine-specific antimicrobial importance and AMR risk prioritisation; explicitly not a treatment guideline.,NEEDS_REVIEW,raw/pdfs/A1-WOAH-SWINE-AMR-TRD-2025-woah-technical-reference-document-listing-antimicrobial-agents-of-veterinary-importance-fo.pdf,b702b62610a2e96eb94fc851d40fd602714ecef924a72554c28f1870536e4f13,336842,200,application/pdf,
A1-WOAH-ANTIMICROBIAL-VETERINARY-IMPORTANCE,WOAH list of antimicrobial agents of veterinary importance,https://www.woah.org/en/for-the-media/amr/oie-amr-standards/,guideline,html,amr_prudence_global,Global antimicrobial importance source entry for AMR stewardship; not a prescription source.,NEEDS_REVIEW,raw/urls/A1-WOAH-ANTIMICROBIAL-VETERINARY-IMPORTANCE-woah-list-of-antimicrobial-agents-of-veterinary-importance.html,b4963b1f5079d6cb6cc535492b5204bd5ccedc715f3e4cb1b0d2914d80cd52fe,450026,200,text/html; charset=UTF-8,
A1-EMA-AMEG-ANTIBIOTIC-CATEGORISATION,EMA AMEG categorisation of antibiotics for use in animals,https://www.ema.europa.eu/system/files/documents/report/ameg-infographic-categorisation-antibiotics_en.pdf,guideline,pdf,amr_prudence_eu,Antibiotic categorisation for responsible veterinary use; does not replace treatment guidelines.,NEEDS_REVIEW,raw/pdfs/A1-EMA-AMEG-ANTIBIOTIC-CATEGORISATION-ema-ameg-categorisation-of-antibiotics-for-use-in-animals.pdf,87cf870648b4c59ca85a65cf52a7a18a2d7cc1ee7d98e02c52e4749900c566b7,379321,200,application/pdf,
A1-EMA-MRL-OVERVIEW,EMA establishing maximum residue limits for veterinary medicines,https://www.ema.europa.eu/en/veterinary-regulatory-overview/research-development-veterinary-medicines/maximum-residue-limits-mrl/establishing-maximum-residue-limits-veterinary-medicines,official,html,residue_boundary_eu,"EU MRL concept, table 1 allowed substances and table 2 prohibited substances boundary; not China approval.",NEEDS_REVIEW,raw/urls/A1-EMA-MRL-OVERVIEW-ema-establishing-maximum-residue-limits-for-veterinary-medicines.html,188c567479105b36e534974622e53c289eae110f98e22698b44e17a8eecc7dbf,138340,200,text/html; charset=UTF-8,
A2-FDA-GREEN-BOOK,FDA Approved Animal Drug Products Green Book,https://www.fda.gov/animal-veterinary/products/approved-animal-drug-products-green-book,official,html,us_label_entry,"US approved animal drug product entry point; useful for label/approval cross-check, not China approval.",NEEDS_REVIEW,raw/urls/A2-FDA-GREEN-BOOK-fda-approved-animal-drug-products-green-book.html,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,,,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1081)>
