rule_id,rule_name,category,priority,evidence_coverage,primary_source_id,page_relpath
RULE-001,猪群评估必须先核验目标、记录和报告结构,herd_evaluation,high,complete,SRC-0003,wiki/rules/Swine-herd-evaluation-records-and-reporting.md
RULE-002,现场调查采用四圈评估法,field_investigation,high,complete,SRC-0003,wiki/rules/Swine-four-circle-herd-evaluation.md
RULE-003,诊断采样优先代表性急性未治疗个体,diagnostic_sampling,high,complete,SRC-0003,wiki/rules/Swine-diagnostic-sampling-selection.md
RULE-004,干预优先级先空气水饲料再疫苗或治疗,intervention_prioritization,medium,complete,SRC-0003,wiki/rules/Swine-intervention-prioritization.md
RULE-005,口腔液样本提交时必须标明样本类型,diagnostic_sampling,medium,complete,SRC-0003,wiki/rules/Swine-oral-fluid-sample-submission.md
RULE-006,猪福利评估必须综合生物功能、情感状态和自然行为机会,welfare_assessment,high,complete,SRC-0004,wiki/rules/Swine-welfare-three-domain-assessment.md
RULE-007,福利监测应结合动物本体指标和资源指标,welfare_assessment,high,complete,SRC-0004,wiki/rules/Swine-welfare-animal-and-resource-measures.md
RULE-008,异常行为和咬尾应作为福利风险信号处理,behavior_risk,high,complete,SRC-0004,wiki/rules/Swine-abnormal-behavior-tail-biting-risk.md
RULE-009,断奶和资源竞争场景要评估采食饮水可及性,feeding_drinking_behavior,medium,complete,SRC-0004,wiki/rules/Swine-feeding-drinking-accessibility.md
RULE-010,疾病行为应作为早期健康与福利信号,sickness_behavior,high,complete,SRC-0004,wiki/rules/Swine-sickness-behavior-early-signal.md
RULE-011,护理栏转移需权衡欺凌减少与混群传播风险,hospital_pen_management,high,complete,SRC-0004,wiki/rules/Swine-hospital-pen-monitoring.md
RULE-012,安乐死必须有标准化 protocol 并确认失去知觉和死亡,euthanasia_welfare,critical,complete,SRC-0004,wiki/rules/Swine-euthanasia-protocol-and-insensibility.md
RULE-013,遗传健康建议必须结合具体群体和环境,genetics_health,high,complete,SRC-0005,wiki/rules/Swine-genetics-population-environment-specificity.md
RULE-014,疾病抵抗和疾病耐受应区分使用,genetics_health,medium,complete,SRC-0005,wiki/rules/Swine-disease-resistance-vs-tolerance.md
RULE-015,母猪生产寿命改良不能只靠单一选择指标,sow_longevity,medium,complete,SRC-0005,wiki/rules/Swine-sow-longevity-selection-boundary.md
RULE-016,环境评估必须覆盖温湿度空间水料和空气质量,environment_health,high,complete,SRC-0006,wiki/rules/Swine-environment-five-factor-check.md
RULE-017,患病或采食下降猪群可能需要调整猪体感温度,environment_health,medium,complete,SRC-0006,wiki/rules/Swine-illness-feed-intake-temperature-adjustment.md
RULE-018,鉴别诊断必须按系统和年龄阶段组织,differential_diagnosis,high,complete,SRC-0007,wiki/rules/Swine-differential-diagnosis-system-age.md
RULE-019,呼吸道症状需纳入感染性和环境/中毒性鉴别,differential_diagnosis,high,complete,SRC-0007,wiki/rules/Swine-respiratory-differentials-infectious-environmental.md
RULE-020,繁殖损失鉴别诊断需覆盖遗传环境营养细菌病毒毒素寄生虫,differential_diagnosis,high,complete,SRC-0007,wiki/rules/Swine-reproductive-loss-differential-scope.md
RULE-021,人兽共患潜力必须在猪病鉴别中显式标注,zoonotic_risk,high,complete,SRC-0007,wiki/rules/Swine-zoonotic-potential-explicit-flag.md
RULE-022,诊断测试结果必须结合猪群史临床病理解释,diagnostic_interpretation,high,complete,SRC-0008,wiki/rules/Swine-diagnostic-results-context-required.md
RULE-023,没有单一检测可视为百分之百敏感和特异,test_performance,high,complete,SRC-0008,wiki/rules/Swine-no-single-test-perfect.md
RULE-024,细菌培养结果必须结合样本信息和临床病变解释,bacterial_diagnostics,high,complete,SRC-0008,wiki/rules/Swine-bacterial-culture-clinical-relevance.md
RULE-025,药敏结果只能作为药物选择一般指导,antimicrobial_susceptibility,high,complete,SRC-0008,wiki/rules/Swine-ast-general-guide-only.md
RULE-026,抗体检测适合群体监测但个体阳性需谨慎确认,serology_interpretation,medium,complete,SRC-0008,wiki/rules/Swine-antibody-test-confirmation-boundary.md
RULE-027,PCR 阳性不得自动等同于活病原或传染性,molecular_diagnostics,high,complete,SRC-0008,wiki/rules/Swine-pcr-positive-not-infectivity.md
RULE-028,测序结果用于溯源和分型但不能任意推断毒力保护,sequencing_interpretation,medium,complete,SRC-0008,wiki/rules/Swine-sequencing-inference-boundary.md
RULE-029,阴性结果和异常阳性均需纳入诊断计划,diagnostic_strategy,high,complete,SRC-0008,wiki/rules/Swine-negative-and-spurious-results-plan.md
RULE-030,诊断问题必须先于采样和检测选择,sample_selection,high,complete,SRC-0009,wiki/rules/Swine-diagnostic-question-before-sampling.md
RULE-031,群体疾病诊断应优先选择急性受影响且未治疗动物,sample_selection,high,complete,SRC-0009,wiki/rules/Swine-representative-acute-untreated-animals.md
RULE-032,采样部位必须匹配病原生物学和病变分布,sample_selection,high,complete,SRC-0009,wiki/rules/Swine-sample-site-pathogen-biology-match.md
RULE-033,死前检测阳性只能作为推定诊断需病理或辅助检测支持,diagnostic_interpretation,high,complete,SRC-0009,wiki/rules/Swine-antemortem-presumptive-needs-context.md
RULE-034,尸检采样应同时包含病变和非病变组织并防止交叉污染,postmortem_sampling,high,complete,SRC-0009,wiki/rules/Swine-necropsy-lesion-normal-contamination-control.md
RULE-035,中枢神经和关节病例需优先采集关键组织以降低污染,postmortem_sampling,medium,complete,SRC-0009,wiki/rules/Swine-cns-joint-priority-clean-sampling.md
RULE-036,因果判断必须区分近因和终因,causality,high,complete,SRC-0010,wiki/rules/Swine-proximate-vs-ultimate-cause.md
RULE-037,疾病诊断和病原监测监视需要不同采样方案,surveillance,high,complete,SRC-0010,wiki/rules/Swine-diagnosis-vs-surveillance-sampling.md
RULE-038,检测敏感性特异性解释必须对应诊断问题,test_performance,high,complete,SRC-0010,wiki/rules/Swine-diagnostic-sensitivity-specificity-question.md
RULE-039,检测只有在结果能解释并触发行动时才应执行,diagnostic_strategy,medium,complete,SRC-0010,wiki/rules/Swine-test-only-if-actionable.md
