source_id,category,source_org,source_type,authority_level,evidence_role,jurisdiction,primary_or_secondary,description,source_url,final_url,saved_path,status,verified_at_utc
SRC-0043,clinical_reference,Merck Veterinary Manual - Aspergillosis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,曲霉菌病,https://www.merckvetmanual.com/poultry/aspergillosis/aspergillosis-in-poultry,https://www.merckvetmanual.com/poultry/aspergillosis/aspergillosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_aspergillosis_aspergillosis-in-poultry.html,downloaded,2026-04-28T07:40:26.192615+00:00
SRC-0056,clinical_reference,Merck Veterinary Manual - Avian Encephalomyelitis,disease_reference_page,A2,clinical_reference,US,secondary,禽脑脊髓炎,https://www.merckvetmanual.com/poultry/avian-encephalomyelitis/avian-encephalomyelitis,https://www.merckvetmanual.com/poultry/avian-encephalomyelitis/avian-encephalomyelitis,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_avian-encephalomyelitis_avian-encephalomyelitis.html,downloaded,2026-04-28T07:40:26.210693+00:00
SRC-0045,clinical_reference,Merck Veterinary Manual - Botulism in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,肉毒梭菌中毒,https://www.merckvetmanual.com/poultry/botulism/botulism-in-poultry,https://www.merckvetmanual.com/poultry/botulism/botulism-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_botulism_botulism-in-poultry.html,downloaded,2026-04-28T07:40:26.196547+00:00
SRC-0030,clinical_reference,Merck Veterinary Manual - Coccidiosis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,鸡球虫病,https://www.merckvetmanual.com/poultry/coccidiosis/coccidiosis-in-poultry,https://www.merckvetmanual.com/poultry/coccidiosis/coccidiosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_coccidiosis_coccidiosis-in-poultry.html,downloaded,2026-04-28T07:40:26.173083+00:00
SRC-0034,clinical_reference,Merck Veterinary Manual - Colibacillosis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,大肠杆菌病,https://www.merckvetmanual.com/poultry/colibacillosis/colibacillosis-in-poultry,https://www.merckvetmanual.com/poultry/colibacillosis/colibacillosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_colibacillosis_colibacillosis-in-poultry.html,downloaded,2026-04-28T07:40:26.178047+00:00
SRC-0040,clinical_reference,Merck Veterinary Manual - Fowl Cholera in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,禽霍乱,https://www.merckvetmanual.com/poultry/fowl-cholera/fowl-cholera,https://www.merckvetmanual.com/poultry/fowl-cholera/fowl-cholera,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_fowl-cholera_fowl-cholera-in-poultry.html,downloaded,2026-04-28T07:40:26.186810+00:00
SRC-0042,clinical_reference,Merck Veterinary Manual - Fowlpox in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,禽痘,https://www.merckvetmanual.com/poultry/fowlpox/fowlpox-in-chickens-and-turkeys,https://www.merckvetmanual.com/poultry/fowlpox/fowlpox-in-chickens-and-turkeys,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_fowlpox_fowlpox-in-poultry.html,downloaded,2026-04-28T07:40:26.190911+00:00
SRC-0048,clinical_reference,Merck Veterinary Manual - Cestodes of Poultry,disease_reference_page,A2,clinical_reference,US,secondary,鸡绦虫病,https://www.merckvetmanual.com/poultry/helminthiasis/helminthiasis-in-poultry,https://www.merckvetmanual.com/poultry/helminthiasis/helminthiasis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_helminthiasis_cestodes-of-poultry.html,downloaded,2026-04-28T07:40:26.199795+00:00
SRC-0047,clinical_reference,Merck Veterinary Manual - Nematode Parasites of Poultry,disease_reference_page,A2,clinical_reference,US,secondary,鸡蛔虫病,https://www.merckvetmanual.com/poultry/helminthiasis/helminthiasis-in-poultry,https://www.merckvetmanual.com/poultry/helminthiasis/helminthiasis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_helminthiasis_nematode-parasites-of-poultry.html,downloaded,2026-04-28T07:40:26.198801+00:00
SRC-0046,clinical_reference,Merck Veterinary Manual - Histomoniasis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,组织滴虫病,https://www.merckvetmanual.com/poultry/histomoniasis/histomoniasis-in-poultry,https://www.merckvetmanual.com/poultry/histomoniasis/histomoniasis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_histomoniasis_histomoniasis-in-poultry.html,downloaded,2026-04-28T07:40:26.197767+00:00
SRC-0031,clinical_reference,Merck Veterinary Manual - Infectious Bronchitis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,传染性支气管炎,https://www.merckvetmanual.com/poultry/infectious-bronchitis/infectious-bronchitis-in-poultry,https://www.merckvetmanual.com/poultry/infectious-bronchitis/infectious-bronchitis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-bronchitis_infectious-bronchitis-in-poultry.html,downloaded,2026-04-28T07:40:26.174445+00:00
SRC-0036,clinical_reference,Merck Veterinary Manual - Infectious Bursal Disease in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,传染性法氏囊病,https://www.merckvetmanual.com/poultry/infectious-bursal-disease/infectious-bursal-disease-in-poultry,https://www.merckvetmanual.com/poultry/infectious-bursal-disease/infectious-bursal-disease-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-bursal-disease_infectious-bursal-disease-in-poultry.html,downloaded,2026-04-28T07:40:26.181176+00:00
SRC-0041,clinical_reference,Merck Veterinary Manual - Infectious Coryza in Chickens,disease_reference_page,A2,clinical_reference,US,secondary,传染性鼻炎,https://www.merckvetmanual.com/poultry/infectious-coryza/infectious-coryza-in-chickens,https://www.merckvetmanual.com/poultry/infectious-coryza/infectious-coryza-in-chickens,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-coryza_infectious-coryza-in-chickens.html,downloaded,2026-04-28T07:40:26.189158+00:00
SRC-0038,clinical_reference,Merck Veterinary Manual - Infectious Laryngotracheitis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,传染性喉气管炎,https://www.merckvetmanual.com/poultry/infectious-laryngotracheitis/infectious-laryngotracheitis-in-poultry,https://www.merckvetmanual.com/poultry/infectious-laryngotracheitis/infectious-laryngotracheitis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-laryngotracheitis_infectious-laryngotracheitis-in-poultry.html,downloaded,2026-04-28T07:40:26.183820+00:00
SRC-0053,clinical_reference,Merck Veterinary Manual - Cannibalism in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,啄癖,https://www.merckvetmanual.com/exotic-and-laboratory-animals/backyard-poultry/common-management-related-problems-in-backyard-poultry,https://www.merckvetmanual.com/exotic-and-laboratory-animals/backyard-poultry/common-management-related-problems-in-backyard-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_management-and-nutrition_cannibalism-in-poultry.html,downloaded,2026-04-28T07:40:26.207076+00:00
