sample_id,final_decision,reject_reason
GEN-P8-000001,rejected,structure:anchor_0_missing_rule_card_id
GEN-P8-000001,rejected,structure:anchor_1_missing_rule_card_id
GEN-P8-000001,rejected,fact:answer_missing_rule_citation
GEN-P8-000001,rejected,judge:deterministic_placeholder_failed
GEN-P8-000004,rejected,hard_gate:executive_content_missing_a0_source
GEN-P8-000004,rejected,judge:deterministic_placeholder_failed
GEN-P8-000006,rejected,hard_gate:executive_content_missing_a0_source
GEN-P8-000006,rejected,judge:deterministic_placeholder_failed
GEN-P8-000007,rejected,fact:sample_source_trust_not_authoritative
GEN-P8-000007,rejected,fact:answer_missing_fact_citation
GEN-P8-000007,rejected,judge:deterministic_placeholder_failed
GEN-P8-000013,rejected,hard_gate:executive_content_missing_a0_source
GEN-P8-000013,rejected,judge:deterministic_placeholder_failed
GEN-P8-000014,rejected,fact:sample_source_trust_not_authoritative
GEN-P8-000014,rejected,fact:answer_missing_fact_citation
GEN-P8-000014,rejected,judge:deterministic_placeholder_failed
GEN-P8-000015,rejected,structure:anchor_0_missing_rule_card_id
GEN-P8-000015,rejected,structure:anchor_1_missing_rule_card_id
GEN-P8-000015,rejected,fact:answer_missing_rule_citation
GEN-P8-000015,rejected,judge:deterministic_placeholder_failed
GEN-P8-000020,rejected,hard_gate:executive_content_missing_a0_source
GEN-P8-000020,rejected,judge:deterministic_placeholder_failed
GEN-P8-000021,rejected,fact:sample_source_trust_not_authoritative
GEN-P8-000021,rejected,fact:answer_missing_fact_citation
GEN-P8-000021,rejected,judge:deterministic_placeholder_failed
GEN-P8-000027,rejected,hard_gate:executive_content_missing_a0_source
GEN-P8-000027,rejected,judge:deterministic_placeholder_failed
GEN-P8-000028,rejected,fact:sample_source_trust_not_authoritative
GEN-P8-000028,rejected,fact:answer_missing_fact_citation
GEN-P8-000028,rejected,judge:deterministic_placeholder_failed
GEN-P8-000029,rejected,structure:anchor_0_missing_rule_card_id
GEN-P8-000029,rejected,structure:anchor_1_missing_rule_card_id
GEN-P8-000029,rejected,fact:answer_missing_rule_citation
GEN-P8-000029,rejected,judge:deterministic_placeholder_failed
GEN-P8-000034,rejected,hard_gate:executive_content_missing_a0_source
GEN-P8-000034,rejected,judge:deterministic_placeholder_failed
GEN-P8-000035,rejected,fact:sample_source_trust_not_authoritative
GEN-P8-000035,rejected,fact:answer_missing_fact_citation
GEN-P8-000035,rejected,judge:deterministic_placeholder_failed
GEN-P8-000036,rejected,structure:anchor_0_missing_rule_card_id
GEN-P8-000036,rejected,structure:anchor_1_missing_rule_card_id
GEN-P8-000036,rejected,fact:answer_missing_rule_citation
GEN-P8-000036,rejected,judge:deterministic_placeholder_failed
