sample_id,ability_layer,entity_id,generation_mode,generation_model,phase15_decision,phase15_reject_reasons,semantic_decision,semantic_route,needed_arbitration,arbitration_trigger_codes,semantic_reject_reasons
GEN-000002,L1_retrieval_grounded,DIS-002,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,True,high_risk_sample|label_disagreement|phase15_high_risk_class|phase15_high_risk_context|score_gap_ge_8,arbiter:high_risk_sample|arbiter:label_disagreement|arbiter:phase15_high_risk_class|arbiter:phase15_high_risk_context|arbiter:score_gap_ge_8|judge_a:review
GEN-000003,L2_diagnosis_support,DIS-002,real-api,hunyuan-turbos-20250926,accepted,,rejected,dual_judge,True,high_risk_sample|label_disagreement|phase15_high_risk_class|phase15_high_risk_context|score_gap_ge_8,arbiter:conservative_high_risk_merge|arbiter:high_risk_sample|arbiter:label_disagreement|arbiter:phase15_high_risk_class|arbiter:phase15_high_risk_context|arbiter:score_gap_ge_8|judge_a:reject|judge_b:review|semantic:structured_pass_false
GEN-000004,L3_differential_support,DIS-002,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,True,high_risk_sample|phase15_high_risk_class|phase15_high_risk_context,arbiter:high_risk_sample|arbiter:phase15_high_risk_class|arbiter:phase15_high_risk_context|judge_a:review|judge_b:review|semantic:structured_pass_false
GEN-000005,L4_control_boundary,DIS-002,real-api,hunyuan-turbos-20250926,accepted,,rejected,dual_judge,True,high_risk_sample|label_disagreement|phase15_high_risk_class|phase15_high_risk_context|score_gap_ge_8,arbiter:conservative_high_risk_merge|arbiter:high_risk_sample|arbiter:label_disagreement|arbiter:phase15_high_risk_class|arbiter:phase15_high_risk_context|arbiter:score_gap_ge_8|judge_a:reject|judge_b:review|semantic:structured_pass_false
GEN-000006,L6_regulatory_guardrail,DIS-002,real-api,hunyuan-turbos-20250926,rejected,hard_gate:executive_content_missing_a0_source|judge:deterministic_placeholder_failed,rejected,skipped_hard_gate,False,,hard_gate:executive_content_missing_a0_source
GEN-000008,L1_retrieval_grounded,DIS-004,real-api,hunyuan-turbos-20250926,accepted,,accepted,dual_judge,False,,
GEN-000009,L2_diagnosis_support,DIS-004,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,False,,judge_a:review|judge_b:review|semantic:structured_pass_false
GEN-000010,L3_differential_support,DIS-004,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,False,,judge_a:review|judge_b:review|semantic:structured_pass_false
GEN-000011,L4_control_boundary,DIS-004,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,False,,judge_a:review|judge_b:review|semantic:structured_pass_false
GEN-000014,L1_retrieval_grounded,DIS-007,real-api,hunyuan-turbos-20250926,accepted,,accepted,dual_judge,False,,
GEN-000015,L2_diagnosis_support,DIS-007,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,False,,judge_a:review|judge_b:review|semantic:structured_pass_false
GEN-000016,L3_differential_support,DIS-007,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,False,,judge_a:review|judge_b:review|semantic:structured_pass_false
