comparison_id,title,evidence_coverage,page_relpath
CMP-001,新生仔猪腹泻鉴别矩阵,complete,wiki/comparisons/CMP-001-neonatal-diarrhea.md
CMP-002,断奶后腹泻鉴别矩阵,complete,wiki/comparisons/CMP-002-post-weaning-diarrhea.md
CMP-003,呼吸道疾病鉴别矩阵,complete,wiki/comparisons/CMP-003-respiratory-disease.md
CMP-004,繁殖障碍鉴别矩阵,complete,wiki/comparisons/CMP-004-reproductive-failure.md
CMP-005,猪水疱性疾病鉴别矩阵,complete,wiki/comparisons/CMP-005-vesicular-disease.md
CMP-006,猪突然死亡/败血症鉴别矩阵,complete,wiki/comparisons/CMP-006-sudden-death-septicemia.md
CMP-007,皮肤瘙痒/结痂鉴别矩阵,complete,wiki/comparisons/CMP-007-skin-pruritus-crusts.md
CMP-008,神经症状鉴别矩阵,complete,wiki/comparisons/CMP-008-neurologic-signs.md
CMP-009,跛行/关节炎鉴别矩阵,complete,wiki/comparisons/CMP-009-lameness-arthritis.md
CMP-010,贫血/黄疸鉴别矩阵,complete,wiki/comparisons/CMP-010-anemia-jaundice.md
CMP-011,毒物/饲料/气体中毒鉴别矩阵,complete,wiki/comparisons/CMP-011-feed-toxin-gas.md
CMP-012,寄生虫/消瘦鉴别矩阵,complete,wiki/comparisons/CMP-012-parasite-wasting.md
CMP-013,母猪繁殖/泌乳异常鉴别矩阵,complete,wiki/comparisons/CMP-013-sow-reproductive-lactation.md
CMP-014,手册疾病覆盖与鉴别入口,complete,wiki/comparisons/CMP-014-handbook-disease-coverage-map.md
