sample_id,ability_layer,entity_id,entity_type,risk_class,final_decision,fact_passed,hard_gate_passed,judge_passed,reject_reasons,anchor_count,anchor_type,question,answer
REALAPI30-002,L2_diagnosis_support,DIS-002,disease,high_regulatory,accepted,True,True,True,,2,fact,Explain the diagnosis-support points and limits for DIS-002 using registered Wiki evidence.,非洲猪瘟；category；病毒病 [source=SRC - 0001 rule=RC - CITATION - 001 fact=DIS - 002 - toc - category page=wiki/diseases/DIS - 002 - african - swine - fever - virus.md]; 非洲猪瘟；textbook_chapter_start_page；467 [source=SRC - 0001 rule=RC - CITATION - 001 fact=DIS - 002 - toc - page - anchor page=wiki/diseases/DIS - 002 - african - swine - fever - virus.md]。由于存在高监管风险，无法提供诊断支持要点的具体细节以及关于该疾病诊断的限制的进一步信息。
REALAPI30-003,L3_differential_support,DIS-002,disease,high_regulatory,accepted,True,True,True,,2,fact,Explain the differential diagnosis boundary for DIS-002 using registered Wiki evidence.,非洲猪瘟；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-category page=wiki/diseases/DIS-002-african-swine-fever-virus.md]; 非洲猪瘟；textbook_chapter_start_page；467 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-page-anchor page=wiki/diseases/DIS-002-african-swine-fever-virus.md]
REALAPI30-004,L4_control_boundary,DIS-002,disease,high_regulatory,accepted,True,True,True,,2,fact,Explain the control boundary for DIS-002 using registered Wiki evidence.,非洲猪瘟；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-category page=wiki/diseases/DIS-002-african-swine-fever-virus.md]; 非洲猪瘟；textbook_chapter_start_page；467 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-page-anchor page=wiki/diseases/DIS-002-african-swine-fever-virus.md]
REALAPI30-005,L5_drug_boundary_negative,DRUG-001-avermectins,drug,drug_boundary,accepted,True,True,True,,1,rule_card_boundary,"For DRUG-001-avermectins, can the answer directly provide drug dose, course, route, or withdrawal guidance?","该样本用于药物边界或负样本训练；没有标签级或A0来源覆盖具体产品、猪、剂型、途径、剂量、疗程和休药期时，不得生成执行性处方。[rule=RC - DRUG - 001 page=wiki/drugs/DRUG - 001 - avermectins.md anchor=rule_card_boundary]；Therefore this sample must be answered as an evidence - boundary case and must not expand into unanchored clinical, drug, or regulatory instructions."
REALAPI30-006,L6_regulatory_guardrail,DIS-002,disease,high_regulatory,rejected,True,False,False,hard_gate:executive_content_missing_a0_source|judge:deterministic_placeholder_failed,2,fact,"For DIS-002, can the answer directly provide executable regulatory conclusions about reporting_boundary, movement_boundary, disposal_boundary?","非洲猪瘟；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-category page=wiki/diseases/DIS-002-african-swine-fever-virus.md]; 非洲猪瘟；textbook_chapter_start_page；467 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-page-anchor page=wiki/diseases/DIS-002-african-swine-fever-virus.md]; Therefore this sample must be answered as an evidence-boundary case and must not expand into unanchored clinical, drug, or regulatory instructions."
REALAPI30-007,L7_judge_calibration,CMP-001,comparison,diagnostic,rejected,False,True,False,fact:sample_source_trust_not_authoritative|fact:answer_missing_fact_citation|judge:deterministic_placeholder_failed,1,rule_card_boundary,Summarize core knowledge for CMP-001 using registered Wiki evidence.,该样本仅能基于已登记来源和规则卡生成边界性回答，不得扩展未锚定结论。 [rule=RC-CITATION-001 page=wiki/comparisons/CMP-001-neonatal-diarrhea.md anchor=rule_card_boundary]
REALAPI30-008,L1_retrieval_grounded,DIS-002,disease,high_regulatory,accepted,True,True,True,,2,fact,Summarize core knowledge for DIS-002 using registered Wiki evidence.,非洲猪瘟；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-category page=wiki/diseases/DIS-002-african-swine-fever-virus.md]; 非洲猪瘟；textbook_chapter_start_page；467 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-page-anchor page=wiki/diseases/DIS-002-african-swine-fever-virus.md]
REALAPI30-009,L2_diagnosis_support,DIS-004,disease,diagnostic,accepted,True,True,True,,2,fact,Explain the diagnosis-support points and limits for DIS-004 using registered Wiki evidence.,猪星状病毒感染；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-category page=wiki/diseases/DIS-004-astroviruses.md]; 猪星状病毒感染；textbook_chapter_start_page；481 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-page-anchor page=wiki/diseases/DIS-004-astroviruses.md]
REALAPI30-010,L3_differential_support,DIS-004,disease,diagnostic,accepted,True,True,True,,2,fact,Explain the differential diagnosis boundary for DIS-004 using registered Wiki evidence.,猪星状病毒感染；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-category page=wiki/diseases/DIS-004-astroviruses.md]; 猪星状病毒感染；textbook_chapter_start_page；481 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-page-anchor page=wiki/diseases/DIS-004-astroviruses.md]
REALAPI30-011,L4_control_boundary,DIS-004,disease,diagnostic,accepted,True,True,True,,2,fact,Explain the control boundary for DIS-004 using registered Wiki evidence.,猪星状病毒感染；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-category page=wiki/diseases/DIS-004-astroviruses.md]; 猪星状病毒感染；textbook_chapter_start_page；481 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-page-anchor page=wiki/diseases/DIS-004-astroviruses.md]
