disease_id,disease_name,category,causative_agent,key_signs,diagnostic_notes,control_notes,treatment_boundary,evidence_source,evidence_url,evidence_strength,last_verified,notes
DIS-001,鸡白痢,细菌病,鸡白痢沙门菌,"雏鸡白色糊状下痢;精神沉郁;扎堆;肛门糊堵","结合日龄、白痢和死亡情况，需细菌分离或实验室检测确认。","种鸡群净化、孵化卫生、隔离淘汰阳性鸡、改善育雏环境。","抗菌药只能作为辅助和标签内使用，黄金数据应强调检测确诊和群体防控。","Merck Veterinary Manual - Pullorum Disease in Poultry","https://www.merckvetmanual.com/poultry/salmonelloses/pullorum-disease-in-poultry",high,2026-04-23,"用于鸡白痢场景生成与诊断一致性评审。"
DIS-002,鸡球虫病,寄生虫病,Eimeria spp.,"血便或稀便;精神沉郁;采食下降;消瘦;死亡率上升","结合垫料潮湿、日龄、肠道病变和粪便卵囊检查。","保持垫料干燥、轮换抗球虫药、合理免疫或药物预防。","抗球虫药必须区分肉鸡和产蛋期限制，命中抗球虫药需检查休药期和蛋鸡禁用。","Merck Veterinary Manual - Coccidiosis in Poultry","https://www.merckvetmanual.com/poultry/coccidiosis/coccidiosis-in-poultry",high,2026-04-23,"与地克珠利、磺胺氯吡嗪钠、马杜霉素等规则联动。"
DIS-003,传染性支气管炎,病毒病,Avian coronavirus,"咳嗽;喷嚏;气管啰音;产蛋下降;蛋壳异常","需结合呼吸道症状、产蛋变化、RT-PCR或血清学检测。","强化免疫程序、生物安全、通风和继发感染控制。","病毒病不应把抗生素写成主治疗；如防控继发感染必须说明边界和合规用药。","Merck Veterinary Manual - Infectious Bronchitis in Poultry","https://www.merckvetmanual.com/poultry/infectious-bronchitis/infectious-bronchitis-in-poultry",high,2026-04-23,"用于防止病毒病样本过度抗菌化。"
DIS-004,热应激,环境/管理病因,高温高湿和通风不足,"张口喘气;饮水增加;采食下降;翅膀下垂;死亡率升高","重点核查温湿度、通风、密度、饮水和日龄。","降温通风、降低密度、清凉饮水、电解质和维生素支持。","通常以环境管理和支持治疗为主，不应常规生成抗菌药处方。","Merck Veterinary Manual - Heat Stress in Poultry","https://www.merckvetmanual.com/poultry/management-and-nutrition/heat-stress-in-poultry",medium,2026-04-23,"用于支持类添加剂和无休药期场景。"
DIS-005,维生素缺乏症,营养代谢病,维生素摄入不足或吸收障碍,"生长迟缓;羽毛异常;神经症状;腿软;产蛋性能下降","需结合饲料配方、储存、日龄和群体分布。","校正饲料配方、补充复合维生素、改善储存和饲喂管理。","应优先给出营养和管理建议，不应把抗菌药作为核心处方。","Merck Veterinary Manual - Nutritional Diseases of Poultry","https://www.merckvetmanual.com/poultry/nutrition-and-management/nutritional-diseases-of-poultry",medium,2026-04-23,"用于复合维生素B、维生素C、维生素K3等支持项。"
DIS-006,大肠杆菌病,细菌病,Avian pathogenic Escherichia coli,"气囊炎;心包炎;肝周炎;精神沉郁;死亡增加","需结合剖检病变、细菌分离和药敏试验。","改善通风、降低氨气、控制原发呼吸道病、按药敏和标签用药。","抗菌药需强调药敏、标签、休药期和产蛋期限制。","Merck Veterinary Manual - Colibacillosis in Poultry","https://www.merckvetmanual.com/poultry/colibacillosis/colibacillosis-in-poultry",high,2026-04-23,"与阿莫西林、恩诺沙星、安普霉素等规则联动。"
DIS-007,坏死性肠炎,细菌病,Clostridium perfringens,"腹泻;精神沉郁;采食下降;肠黏膜坏死;突然死亡","需结合肠道病变、饲料变化、球虫共感染和实验室检测。","控制球虫、改善饲料和垫料、减少应激、必要时按标签用药。","不得生成甲硝唑等禁用药正例；若出现硝基咪唑类必须拦截。","Merck Veterinary Manual - Necrotic Enteritis in Poultry","https://www.merckvetmanual.com/poultry/necrotic-enteritis/necrotic-enteritis-in-poultry",high,2026-04-23,"重点防止甲硝唑错误处方。"
DIS-008,禽流感,重大疫病,Avian influenza virus,"突然死亡;呼吸道症状;产蛋下降;头面部水肿;神经症状","疑似高致病性禽流感必须按法规报告并由实验室确诊。","隔离、报告、封锁、消毒和官方处置优先。","不应生成常规用药治愈方案；应强调上报和生物安全。","WOAH Terrestrial Manual - Avian Influenza","https://www.woah.org/en/disease/avian-influenza/",high,2026-04-23,"用于重大疫病安全边界控制。"
DIS-009,新城疫,重大病毒病,Avian orthoavulavirus 1,"呼吸道症状;绿色稀便;神经症状;产蛋下降;死亡率升高","需结合免疫史、传播速度、神经症状和实验室检测；高致病性疑似需报告。","强化免疫、生物安全、隔离和官方处置。","不应生成常规抗菌药治愈方案；重点是报告、隔离、检测和防控。","WOAH - Newcastle disease","https://www.woah.org/en/disease/newcastle-disease/",high,2026-04-23,"重大疫病安全边界卡。"
DIS-010,传染性法氏囊病,病毒病,Infectious bursal disease virus,"3-6周龄易感;精神沉郁;腹泻;脱水;法氏囊肿大或萎缩;免疫抑制","结合日龄、法氏囊病变、免疫史和实验室检测。","免疫程序、消毒、生物安全和支持治疗。","病毒病无特效抗菌治疗；抗菌药仅限继发感染且需合规。","Merck Veterinary Manual - Infectious Bursal Disease in Poultry","https://www.merckvetmanual.com/poultry/infectious-bursal-disease/infectious-bursal-disease-in-poultry",high,2026-04-23,"常见免疫抑制病。"
