disease_id,disease_name,category,causative_agent,official_china_status,evidence_source,evidence_url,last_verified,coverage_target,china_standard_required,clinical_page_required,regulatory_anchor_required,coverage_gap_status
DIS-001,鸡白痢,细菌病,鸡白痢沙门菌,,Merck Veterinary Manual - Pullorum Disease in Poultry,https://www.merckvetmanual.com/poultry/salmonelloses/pullorum-disease-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-002,鸡球虫病,寄生虫病,Eimeria spp.,,Merck Veterinary Manual - Coccidiosis in Poultry,https://www.merckvetmanual.com/poultry/coccidiosis/coccidiosis-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-003,传染性支气管炎,病毒病,Avian coronavirus,China official category III animal disease,Merck Veterinary Manual - Infectious Bronchitis in Poultry,https://www.merckvetmanual.com/poultry/infectious-bronchitis/infectious-bronchitis-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-004,热应激,环境/管理病因,高温高湿和通风不足,,Merck Veterinary Manual - Heat Stress in Poultry,https://www.merckvetmanual.com/poultry/management-and-nutrition/heat-stress-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-005,维生素缺乏症,营养代谢病,维生素摄入不足或吸收障碍,,Merck Veterinary Manual - Nutritional Diseases of Poultry,https://www.merckvetmanual.com/poultry/nutrition-and-management/nutritional-diseases-of-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-006,大肠杆菌病,细菌病,Avian pathogenic Escherichia coli,,Merck Veterinary Manual - Colibacillosis in Poultry,https://www.merckvetmanual.com/poultry/colibacillosis/colibacillosis-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-007,坏死性肠炎,细菌病,Clostridium perfringens,,Merck Veterinary Manual - Necrotic Enteritis in Poultry,https://www.merckvetmanual.com/poultry/necrotic-enteritis/necrotic-enteritis-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-008,禽流感,重大疫病,Avian influenza virus,China official avian influenza framework: HPAI category I / LPAI category III,WOAH Terrestrial Manual - Avian Influenza,https://www.woah.org/en/disease/avian-influenza/,2026-04-23,core,yes,yes,yes,needs_audit
DIS-009,新城疫,重大病毒病,Avian orthoavulavirus 1,China official category II animal disease,WOAH - Newcastle disease,https://www.woah.org/en/disease/newcastle-disease/,2026-04-23,core,yes,yes,yes,needs_audit
DIS-010,传染性法氏囊病,病毒病,Infectious bursal disease virus,China official category III animal disease,Merck Veterinary Manual - Infectious Bursal Disease in Poultry,https://www.merckvetmanual.com/poultry/infectious-bursal-disease/infectious-bursal-disease-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-011,马立克病,肿瘤性病毒病,Marek disease virus,China official category III animal disease,Merck Veterinary Manual - Marek Disease in Poultry,https://www.merckvetmanual.com/poultry/neoplasms/marek-disease-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-012,传染性喉气管炎,病毒病,Gallid alphaherpesvirus 1,China official category III animal disease,Merck Veterinary Manual - Infectious Laryngotracheitis in Poultry,https://www.merckvetmanual.com/poultry/infectious-laryngotracheitis/infectious-laryngotracheitis-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-013,鸡支原体病,细菌样病原,Mycoplasma gallisepticum or synoviae,,Merck Veterinary Manual - Mycoplasmosis in Poultry,https://www.merckvetmanual.com/poultry/mycoplasmosis/mycoplasmosis-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-014,禽霍乱,细菌病,Pasteurella multocida,,Merck Veterinary Manual - Fowl Cholera in Poultry,https://www.merckvetmanual.com/poultry/fowl-cholera/fowl-cholera-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-015,传染性鼻炎,细菌病,Avibacterium paragallinarum,,Merck Veterinary Manual - Infectious Coryza in Chickens,https://www.merckvetmanual.com/poultry/infectious-coryza/infectious-coryza-in-chickens,2026-04-23,core,yes,yes,yes,needs_audit
DIS-016,禽痘,病毒病,Fowlpox virus,China official category III animal disease,Merck Veterinary Manual - Fowlpox in Poultry,https://www.merckvetmanual.com/poultry/fowlpox/fowlpox-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-017,曲霉菌病,真菌病,Aspergillus fumigatus,,Merck Veterinary Manual - Aspergillosis in Poultry,https://www.merckvetmanual.com/poultry/aspergillosis/aspergillosis-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
