entity_type,entity_id,title,usage_scope,reason,evidence_coverage,qualified_source_count,has_authority_source,has_executable_terms,page_relpath,source_ids
disease,DIS-001,猪腺病毒感染,partial,executable disease/regulatory claim requires authority source,partial,10,False,True,wiki/diseases/DIS-001-adenoviruses.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0030
disease,DIS-002,非洲猪瘟,gold_candidate,reviewed page with multiple qualified anchors,complete,21,True,True,wiki/diseases/DIS-002-african-swine-fever-virus.md,A0-MOA-573;A0-MOA-ASF-EMERGENCY-6TH;A0-MOA-ASF-LOW-VIRULENCE-2024;A0-MOA-ASF-NORMALIZED-GUIDE;A0-MOA-BANNED-DRUG-250-POLICY;A1-FAO-ASF;A1-USDA-APHIS-ASF;A1-WOAH-ASF;A1-WOAH-ASF-DISEASE;RC-ASF-001;RC-TRAIN-READY-001;SRC-0001;SRC-0008;SRC-0009;SRC-0012;SRC-0019;SRC-0020;SRC-0028;SRC-0031;SRC-0035;SRC-0041
disease,DIS-003,猪环曲病毒托克特诺病毒感染,partial,qualified sources support bounded clinical generation,partial,15,True,True,wiki/diseases/DIS-003-anelloviruses-torque-teno-sus-viruses.md,A0-MOA-BANNED-DRUG-250-POLICY;RC-ALIAS-001;RC-CITATION-001;RC-TRAIN-READY-001;SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0032;SRC-0083
disease,DIS-004,猪星状病毒感染,gold_candidate,reviewed page with multiple qualified anchors,complete,12,True,True,wiki/diseases/DIS-004-astroviruses.md,A0-MOA-BANNED-DRUG-250-POLICY;A2-SHIC-CFSPH-PORCINE-ASTROVIRUS-FACTSHEET;RC-ALIAS-001;RC-CITATION-001;RC-DRUG-001;RC-TRAIN-READY-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0008;SRC-0009;SRC-0012;SRC-0032
disease,DIS-005,猪布尼亚病毒相关感染,partial,qualified sources support bounded clinical generation,partial,11,True,True,wiki/diseases/DIS-005-bunyaviruses-akabane-lumbo-oya-tahyna.md,A0-MOA-BANNED-DRUG-250-POLICY;SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0033
disease,DIS-006,猪杯状病毒感染,partial,qualified sources support bounded clinical generation,partial,11,True,True,wiki/diseases/DIS-006-caliciviruses-norovirus-sapovirus-vesicular-exanthema-virus.md,A0-MOA-BANNED-DRUG-250-POLICY;SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0034
disease,DIS-007,猪圆环病毒相关疾病,gold_candidate,reviewed page with multiple qualified anchors,complete,6,True,True,wiki/diseases/DIS-007-circoviruses-pcvad.md,A0-MOA-573;SRC-0001;SRC-0035;SRC-0087;SRC-0088;SRC-0089
disease,DIS-008,猪流行性腹泻,gold_candidate,reviewed page with multiple qualified anchors,complete,14,True,True,wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md,A0-MOA-573;A0-MOA-BANNED-DRUG-250-POLICY;A2-MERCK-CORONAVIRAL-ENTERITIS-PIGS-2026;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0008;SRC-0009;SRC-0012;SRC-0037;SRC-0087;SRC-0088;SRC-0089
disease,DIS-009,猪传染性胃肠炎,gold_candidate,reviewed page with multiple qualified anchors,complete,14,True,True,wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md,A0-MOA-BANNED-DRUG-250-POLICY;A2-MERCK-CORONAVIRAL-ENTERITIS-PIGS-2026;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0008;SRC-0009;SRC-0012;SRC-0036;SRC-0037;SRC-0087;SRC-0088;SRC-0089
disease,DIS-010,猪δ冠状病毒感染,partial,qualified sources support bounded clinical generation,partial,16,True,True,wiki/diseases/DIS-010-porcine-deltacoronavirus.md,A0-MOA-573;A2-MERCK-CORONAVIRAL-ENTERITIS-PIGS-2026;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0037;SRC-0093
disease,DIS-011,猪血凝性脑脊髓炎,partial,executable disease/regulatory claim requires authority source,complete,3,False,True,wiki/diseases/DIS-011-hemagglutinating-encephalomyelitis-virus.md,SRC-0001;SRC-0037;SRC-0088
disease,DIS-012,猪呼吸道冠状病毒感染,partial,executable disease/regulatory claim requires authority source,partial,10,False,True,wiki/diseases/DIS-012-porcine-respiratory-coronavirus.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0036
disease,DIS-013,猪托罗病毒感染,partial,executable disease/regulatory claim requires authority source,partial,10,False,True,wiki/diseases/DIS-013-porcine-torovirus.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0037
disease,DIS-014,猪丝状病毒相关感染,partial,qualified sources support bounded clinical generation,partial,11,True,True,wiki/diseases/DIS-014-filoviruses-reston-ebolavirus-zaire-ebolavirus.md,A0-MOA-BANNED-DRUG-250-POLICY;SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0038
disease,DIS-015,猪乙型脑炎,gold_candidate,reviewed page with multiple qualified anchors,complete,8,True,True,wiki/diseases/DIS-015-japanese-encephalitis-virus.md,A0-MOA-BANNED-DRUG-250-POLICY;SRC-0001;SRC-0008;SRC-0009;SRC-0012;SRC-0039;SRC-0087;SRC-0089
disease,DIS-016,猪西尼罗病毒相关感染,partial,qualified sources support bounded clinical generation,partial,11,True,True,wiki/diseases/DIS-016-west-nile-virus-and-other-flaviviruses.md,A0-MOA-BANNED-DRUG-250-POLICY;SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0039
disease,DIS-017,猪戊型肝炎,partial,qualified sources support bounded clinical generation,partial,11,True,True,wiki/diseases/DIS-017-hepatitis-e-virus.md,A0-MOA-BANNED-DRUG-250-POLICY;SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0040
disease,DIS-018,猪伪狂犬病,gold_candidate,reviewed page with multiple qualified anchors,complete,13,True,True,wiki/diseases/DIS-018-pseudorabies-aujeszky-disease.md,A0-MOA-BANNED-DRUG-250-POLICY;A2-MERCK-PSEUDORABIES-PIGS-2026;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0008;SRC-0009;SRC-0012;SRC-0041;SRC-0087;SRC-0088;SRC-0089
disease,DIS-019,猪巨细胞病毒感染,partial,executable disease/regulatory claim requires authority source,partial,10,False,True,wiki/diseases/DIS-019-porcine-cytomegalovirus.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0041
disease,DIS-020,猪恶性卡他热相关感染,partial,executable disease/regulatory claim requires authority source,partial,10,False,True,wiki/diseases/DIS-020-malignant-catarrhal-fever-ovine-herpesvirus-2.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0041
disease,DIS-021,猪流感,gold_candidate,reviewed page with multiple qualified anchors,complete,15,True,True,wiki/diseases/DIS-021-influenza-viruses.md,A0-MOA-SWINE-FLU-EMERGENCY-2009;A2-MERCK-INFLUENZA-A-SWINE-2024;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0009;SRC-0014;SRC-0042;SRC-0043;SRC-0049;SRC-0058;SRC-0069;SRC-0088;SRC-0089
disease,DIS-022,猪副黏病毒相关感。,partial,executable disease/regulatory claim requires authority source,partial,10,False,True,wiki/diseases/DIS-022-paramyxoviruses.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0044
disease,DIS-023,猪细小病毒病,gold_candidate,reviewed page with multiple qualified anchors,complete,5,True,True,wiki/diseases/DIS-023-parvoviruses.md,A0-MOA-573;SRC-0001;SRC-0045;SRC-0089;SRC-0092
disease,DIS-024,猪瘟,gold_candidate,reviewed page with multiple qualified anchors,complete,11,True,True,wiki/diseases/DIS-024-classical-swine-fever-pestiviruses.md,A0-MOA-PRRS-CSF-GUIDANCE-2017;A2-MERCK-CLASSICAL-SWINE-FEVER-2026;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0046;SRC-0087;SRC-0088;SRC-0089;SRC-0090
disease,DIS-025,非典型猪瘟病毒感。,partial,executable disease/regulatory claim requires authority source,partial,13,False,True,wiki/diseases/DIS-025-atypical-porcine-pestivirus-pestivirus-infections.md,A2-NATURE-SCI-REP-APPV-CONGENITAL-TREMOR-2016;RC-DISEASE-REGULATORY-001;RC-DRUG-001;SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0046
disease,DIS-026,猪口蹄疫,gold_candidate,reviewed page with multiple qualified anchors,complete,15,True,True,wiki/diseases/DIS-026-foot-and-mouth-disease-picornaviruses.md,A0-MOA-573;A0-MOA-FMD-CONTROL-GUIDE-2024;A0-MOA-FMD-EMERGENCY-DRAFT-2026;A0-MOA-FMD-REFERENCE-LAB-APPLICATION-2024;A1-WOAH-FMD-DISEASE;A2-MERCK-FMD-ANIMALS-2026;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0047;SRC-0048;SRC-0087;SRC-0088;SRC-0089
disease,DIS-027,濉炲唴鍗＄梾姣扐鎰熸煋,partial,executable disease/regulatory claim requires authority source,partial,10,False,True,wiki/diseases/DIS-027-senecavirus-a-picornaviruses.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0048
