source_id,title,authority_level,source_status,fact_validity,legacy_evidence_status,relpath,path_exists
A0-DIS045-LEPTO-WEB-01-573,中华人民共和国农业农村部公告 第573号：一、二、三类动物疫病病种名录,A0,source_anchored,valid,,wiki/sources/A0-DIS045-LEPTO-WEB-01-573.md,true
A0-DIS045-LEPTO-WEB-04-GB-T-45106-2024,国家标准：GB/T 45106-2024 动物钩端螺旋体病诊断技术,A0,source_anchored,valid,,wiki/sources/A0-DIS045-LEPTO-WEB-04-GB-T-45106-2024.md,true
A0-DIS045-LEPTO-WEB-05-WS-290-2008,钩端螺旋体病诊断标准 WS 290-2008,A0,source_anchored,valid,,wiki/sources/A0-DIS045-LEPTO-WEB-05-WS-290-2008.md,true
A0-DIS045-LEPTO-WEB-06-2008-2,中华人民共和国卫生部通告 卫通〔2008〕2号,A0,source_anchored,valid,,wiki/sources/A0-DIS045-LEPTO-WEB-06-2008-2.md,true
A0-MOA-573,中华人民共和国农业农村部公告 第573号,A0,source_anchored,valid,,wiki/sources/A0-MOA-573.md,true
A0-MOA-AMOXICILLIN-INJECTION-332-2020,农业农村部公告第332号 阿莫西林注射液说明书,A0,source_anchored,valid,,wiki/sources/A0-MOA-AMOXICILLIN-INJECTION-332-2020.md,true
A0-MOA-ANIMAL-DISEASE-MONITORING-2021-2025,国家动物疫病监测与流行病学调查计划（2021—2025年）,A0,source_anchored,valid,,wiki/sources/A0-MOA-ANIMAL-DISEASE-MONITORING-2021-2025.md,true
A0-MOA-ANIMAL-PATHOGEN-CATALOG,MOA animal pathogenic microorganism classification catalog,A0,source_anchored,valid,,wiki/sources/A0-MOA-ANIMAL-PATHOGEN-CATALOG.md,true
A0-MOA-ANNOUNCEMENT-1011-ENROFLOXACIN-2026,农业农村部公告第1011号：恩诺沙星粉（水产用）变更注册,A0,source_anchored,valid,,wiki/sources/A0-MOA-ANNOUNCEMENT-1011-ENROFLOXACIN-2026.md,true
A0-MOA-ANNOUNCEMENT-1738-VET-DRUG-CANCELLATION-2012,农业部公告第1738号：兽药生产许可证、GMP证书和产品批准文号注销,A0,source_anchored,valid,,wiki/sources/A0-MOA-ANNOUNCEMENT-1738-VET-DRUG-CANCELLATION-2012.md,true
A0-MOA-ANNOUNCEMENT-183-SULFADIAZINE-2019,农业农村部公告第183号 复方磺胺嘧啶混悬液再注册和残留检测方法,A0,source_anchored,valid,,wiki/sources/A0-MOA-ANNOUNCEMENT-183-SULFADIAZINE-2019.md,true
A0-MOA-ANNOUNCEMENT-55-ENROFLOXACIN-2018,农业农村部公告第55号：恩诺沙星溶液质量标准,A0,source_anchored,valid,,wiki/sources/A0-MOA-ANNOUNCEMENT-55-ENROFLOXACIN-2018.md,true
A0-MOA-ANNOUNCEMENT-661-CEFQUINOME-2006,农业部公告第661号 硫酸头孢喹肟注射液进口注册,A0,source_anchored,valid,,wiki/sources/A0-MOA-ANNOUNCEMENT-661-CEFQUINOME-2006.md,true
A0-MOA-ANNOUNCEMENT-70-TILMICOSIN-2018,农业农村部公告第70号 替米考星预混剂进口再注册、质量标准、说明书和标签,A0,source_anchored,valid,,wiki/sources/A0-MOA-ANNOUNCEMENT-70-TILMICOSIN-2018.md,true
A0-MOA-ANNOUNCEMENT-995-FLORFENICOL-2026,农业农村部公告第995号：氟苯尼考注射液变更注册,A0,source_anchored,valid,,wiki/sources/A0-MOA-ANNOUNCEMENT-995-FLORFENICOL-2026.md,true
A0-MOA-ASF-EMERGENCY-6TH,非洲猪瘟疫情应急实施方案（第六版）,A0,source_anchored,valid,,wiki/sources/A0-MOA-ASF-EMERGENCY-6TH.md,true
A0-MOA-ASF-LOW-VIRULENCE-2024,MOA ASF low-virulence strain control guide,A0,source_anchored,valid,,wiki/sources/A0-MOA-ASF-LOW-VIRULENCE-2024.md,true
A0-MOA-ASF-NORMALIZED-GUIDE,非洲猪瘟常态化防控技术指南（试行版）,A0,source_anchored,valid,,wiki/sources/A0-MOA-ASF-NORMALIZED-GUIDE.md,true
A0-MOA-ASF-WINTER-SPRING-2022,MOA winter-spring ASF control key technologies,A0,source_anchored,valid,,wiki/sources/A0-MOA-ASF-WINTER-SPRING-2022.md,true
A0-MOA-AUTUMN-WINTER-SWINE-DISEASES-2022,MOA autumn-winter major swine disease prevention points,A0,source_anchored,valid,,wiki/sources/A0-MOA-AUTUMN-WINTER-SWINE-DISEASES-2022.md,true
A0-MOA-BANNED-DRUG-250-NOTICE,农业农村部公告第250号 食品动物中禁止使用的药品及其他化合物清单,A0,source_anchored,valid,,wiki/sources/A0-MOA-BANNED-DRUG-250-NOTICE.md,true
A0-MOA-BANNED-DRUG-250-POLICY,农业农村部食品动物禁用药清单政策说明,A0,source_anchored,valid,,wiki/sources/A0-MOA-BANNED-DRUG-250-POLICY.md,true
A0-MOA-BANNED-DRUG-250-RAW,MOA Notice No. 250 banned drugs and compounds for food animals,A0,source_anchored,valid,,wiki/sources/A0-MOA-BANNED-DRUG-250-RAW.md,true
A0-MOA-BRUCELLOSIS-2022-2026,MOA animal brucellosis prevention and control action plan 2022-2026,A0,source_anchored,valid,,wiki/sources/A0-MOA-BRUCELLOSIS-2022-2026.md,true
A0-MOA-BRUCELLOSIS-KEY-POINTS-2023,MOA brucellosis prevention and control key points,A0,source_anchored,valid,,wiki/sources/A0-MOA-BRUCELLOSIS-KEY-POINTS-2023.md,true
A0-MOA-CARBADOX-RESIDUE-2019,2019年畜禽及蜂产品兽药残留监控结果通报,A0,source_anchored,valid,,wiki/sources/A0-MOA-CARBADOX-RESIDUE-2019.md,true
A0-MOA-CEFTIOFUR-SODIUM-INJECTION-2024,农业农村部公报附件 注射用头孢噻呋钠说明书,A0,source_anchored,valid,,wiki/sources/A0-MOA-CEFTIOFUR-SODIUM-INJECTION-2024.md,true
A0-MOA-DRUG-RISK-MONITORING-2026,2026年兽药质量监督抽检和风险监测等3个计划,A0,source_anchored,valid,,wiki/sources/A0-MOA-DRUG-RISK-MONITORING-2026.md,true
A0-MOA-ELIMINATED-DRUGS-839,农业部公告第839号 淘汰兽药品种目录,A0,source_anchored,valid,,wiki/sources/A0-MOA-ELIMINATED-DRUGS-839.md,true
A0-MOA-ENROFLOXACIN-SOLUTION-55-2018,农业农村部公告第55号 恩诺沙星溶液说明书,A0,source_anchored,valid,,wiki/sources/A0-MOA-ENROFLOXACIN-SOLUTION-55-2018.md,true
A0-MOA-FEED-HYGIENE-GB13078-2017,GB 13078-2017 Hygienical standard for feeds as posted by MOA,A0,source_anchored,valid,,wiki/sources/A0-MOA-FEED-HYGIENE-GB13078-2017.md,true
A0-MOA-FEED-QA-SAFETY-MANAGEMENT,MOA feed quality and safety management specification,A0,source_anchored,valid,,wiki/sources/A0-MOA-FEED-QA-SAFETY-MANAGEMENT.md,true
A0-MOA-FLORFENICOL-INJECTION-219-2019,农业农村部公告第219号 氟苯尼考注射液说明书,A0,source_anchored,valid,,wiki/sources/A0-MOA-FLORFENICOL-INJECTION-219-2019.md,true
A0-MOA-FMD-CONTROL-GUIDE-2024,家畜口蹄疫防控技术指南,A0,source_anchored,valid,,wiki/sources/A0-MOA-FMD-CONTROL-GUIDE-2024.md,true
A0-MOA-FMD-EMERGENCY-DRAFT-2026,口蹄疫疫情应急实施方案（2026年版）（征求意见稿）,A0,source_anchored,valid,,wiki/sources/A0-MOA-FMD-EMERGENCY-DRAFT-2026.md,true
A0-MOA-FMD-REFERENCE-LAB-APPLICATION-2024,国家兽医参考/专业实验室申请表,A0,source_anchored,valid,,wiki/sources/A0-MOA-FMD-REFERENCE-LAB-APPLICATION-2024.md,true
A0-MOA-ILLEGAL-ADDITIVES-METHODS-2024,兽药非法添加物检测标准与方法汇总,A0,source_anchored,valid,,wiki/sources/A0-MOA-ILLEGAL-ADDITIVES-METHODS-2024.md,true
