source_id,title,category,source_org,source_type,authority_level,evidence_role,jurisdiction,primary_or_secondary,source_url,final_url,saved_path,status,verified_at_utc,raw_relpath,extractable_text,extraction_method,heading_count,issue
SRC-0043,Aspergillosis in Poultry - Poultry - Merck Veterinary Manual,clinical_reference,Merck Veterinary Manual - Aspergillosis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,https://www.merckvetmanual.com/poultry/aspergillosis/aspergillosis-in-poultry,https://www.merckvetmanual.com/poultry/aspergillosis/aspergillosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_aspergillosis_aspergillosis-in-poultry.html,downloaded,2026-04-28T07:40:26.192615+00:00,raw/clinical_reference/www.merckvetmanual.com_poultry_aspergillosis_aspergillosis-in-poultry.html,yes,native,9,
SRC-0056,Avian Encephalomyelitis - Poultry - Merck Veterinary Manual,clinical_reference,Merck Veterinary Manual - Avian Encephalomyelitis,disease_reference_page,A2,clinical_reference,US,secondary,https://www.merckvetmanual.com/poultry/avian-encephalomyelitis/avian-encephalomyelitis,https://www.merckvetmanual.com/poultry/avian-encephalomyelitis/avian-encephalomyelitis,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_avian-encephalomyelitis_avian-encephalomyelitis.html,downloaded,2026-04-28T07:40:26.210693+00:00,raw/clinical_reference/www.merckvetmanual.com_poultry_avian-encephalomyelitis_avian-encephalomyelitis.html,yes,native,10,
SRC-0045,Botulism in Poultry - Poultry - Merck Veterinary Manual,clinical_reference,Merck Veterinary Manual - Botulism in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,https://www.merckvetmanual.com/poultry/botulism/botulism-in-poultry,https://www.merckvetmanual.com/poultry/botulism/botulism-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_botulism_botulism-in-poultry.html,downloaded,2026-04-28T07:40:26.196547+00:00,raw/clinical_reference/www.merckvetmanual.com_poultry_botulism_botulism-in-poultry.html,yes,native,13,
SRC-0030,Coccidiosis in Poultry - Poultry - Merck Veterinary Manual,clinical_reference,Merck Veterinary Manual - Coccidiosis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,https://www.merckvetmanual.com/poultry/coccidiosis/coccidiosis-in-poultry,https://www.merckvetmanual.com/poultry/coccidiosis/coccidiosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_coccidiosis_coccidiosis-in-poultry.html,downloaded,2026-04-28T07:40:26.173083+00:00,raw/clinical_reference/www.merckvetmanual.com_poultry_coccidiosis_coccidiosis-in-poultry.html,yes,native,14,
SRC-0034,Colibacillosis in Poultry - Poultry - Merck Veterinary Manual,clinical_reference,Merck Veterinary Manual - Colibacillosis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,https://www.merckvetmanual.com/poultry/colibacillosis/colibacillosis-in-poultry,https://www.merckvetmanual.com/poultry/colibacillosis/colibacillosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_colibacillosis_colibacillosis-in-poultry.html,downloaded,2026-04-28T07:40:26.178047+00:00,raw/clinical_reference/www.merckvetmanual.com_poultry_colibacillosis_colibacillosis-in-poultry.html,yes,native,8,
SRC-0040,Fowl Cholera - Poultry - Merck Veterinary Manual,clinical_reference,Merck Veterinary Manual - Fowl Cholera in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,https://www.merckvetmanual.com/poultry/fowl-cholera/fowl-cholera,https://www.merckvetmanual.com/poultry/fowl-cholera/fowl-cholera,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_fowl-cholera_fowl-cholera-in-poultry.html,downloaded,2026-04-28T07:40:26.186810+00:00,raw/clinical_reference/www.merckvetmanual.com_poultry_fowl-cholera_fowl-cholera-in-poultry.html,yes,native,9,
SRC-0042,Fowlpox in Chickens and Turkeys - Poultry - Merck Veterinary Manual,clinical_reference,Merck Veterinary Manual - Fowlpox in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,https://www.merckvetmanual.com/poultry/fowlpox/fowlpox-in-chickens-and-turkeys,https://www.merckvetmanual.com/poultry/fowlpox/fowlpox-in-chickens-and-turkeys,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_fowlpox_fowlpox-in-poultry.html,downloaded,2026-04-28T07:40:26.190911+00:00,raw/clinical_reference/www.merckvetmanual.com_poultry_fowlpox_fowlpox-in-poultry.html,yes,native,9,
SRC-0048,Helminthiasis in Poultry - Poultry - Merck Veterinary Manual,clinical_reference,Merck Veterinary Manual - Cestodes of Poultry,disease_reference_page,A2,clinical_reference,US,secondary,https://www.merckvetmanual.com/poultry/helminthiasis/helminthiasis-in-poultry,https://www.merckvetmanual.com/poultry/helminthiasis/helminthiasis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_helminthiasis_cestodes-of-poultry.html,downloaded,2026-04-28T07:40:26.199795+00:00,raw/clinical_reference/www.merckvetmanual.com_poultry_helminthiasis_cestodes-of-poultry.html,yes,native,11,
SRC-0047,Helminthiasis in Poultry - Poultry - Merck Veterinary Manual,clinical_reference,Merck Veterinary Manual - Nematode Parasites of Poultry,disease_reference_page,A2,clinical_reference,US,secondary,https://www.merckvetmanual.com/poultry/helminthiasis/helminthiasis-in-poultry,https://www.merckvetmanual.com/poultry/helminthiasis/helminthiasis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_helminthiasis_nematode-parasites-of-poultry.html,downloaded,2026-04-28T07:40:26.198801+00:00,raw/clinical_reference/www.merckvetmanual.com_poultry_helminthiasis_nematode-parasites-of-poultry.html,yes,native,11,
SRC-0046,Histomoniasis in Poultry - Poultry - Merck Veterinary Manual,clinical_reference,Merck Veterinary Manual - Histomoniasis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,https://www.merckvetmanual.com/poultry/histomoniasis/histomoniasis-in-poultry,https://www.merckvetmanual.com/poultry/histomoniasis/histomoniasis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_histomoniasis_histomoniasis-in-poultry.html,downloaded,2026-04-28T07:40:26.197767+00:00,raw/clinical_reference/www.merckvetmanual.com_poultry_histomoniasis_histomoniasis-in-poultry.html,yes,native,10,
