disease_id,disease_name,category,coverage_target,china_standard_required,clinical_page_required,regulatory_anchor_required,has_china_standard,has_clinical_page,has_regulatory_anchor,regulatory_anchor_scope,standard_count,matched_source_count,coverage_gap_status
DIS-001,鸡白痢,细菌病,core,yes,yes,yes,yes,yes,yes,general_framework,1,2,covered
DIS-002,鸡球虫病,寄生虫病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-003,传染性支气管炎,病毒病,core,yes,yes,yes,yes,yes,yes,specific,3,4,covered
DIS-004,热应激,环境/管理病因,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-005,维生素缺乏症,营养代谢病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-006,大肠杆菌病,细菌病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-007,坏死性肠炎,细菌病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-008,禽流感,重大疫病,core,yes,yes,yes,yes,yes,yes,specific,5,7,covered
DIS-009,新城疫,重大病毒病,core,yes,yes,yes,yes,yes,yes,specific,2,4,covered
DIS-010,传染性法氏囊病,病毒病,core,yes,yes,yes,yes,yes,yes,specific,1,2,covered
DIS-011,马立克病,肿瘤性病毒病,core,yes,yes,yes,yes,yes,yes,specific,1,2,covered
DIS-012,传染性喉气管炎,病毒病,core,yes,yes,yes,yes,yes,yes,specific,1,2,covered
DIS-013,鸡支原体病,细菌样病原,core,yes,yes,yes,yes,yes,yes,general_framework,2,4,covered
DIS-014,禽霍乱,细菌病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-015,传染性鼻炎,细菌病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-016,禽痘,病毒病,core,yes,yes,yes,no,yes,yes,specific,0,1,missing_china_standard
DIS-017,曲霉菌病,真菌病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-018,葡萄球菌病,细菌病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-019,肉毒梭菌中毒,中毒病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-020,组织滴虫病,寄生虫病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-021,鸡蛔虫病,寄生虫病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-022,鸡绦虫病,寄生虫病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-023,霉菌毒素中毒,中毒/饲料问题,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-024,脂肪肝出血综合征,营养代谢病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-025,腹水综合征,代谢/管理病因,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-026,笼养蛋鸡疲劳症,营养代谢病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-027,啄癖,行为/管理问题,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-028,氨气刺激性呼吸道病,环境/管理病因,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-029,鸡伤寒,细菌病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-030,禽脑脊髓炎,病毒病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-031,卵黄囊感染,细菌病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-032,卵黄性腹膜炎,细菌病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-033,鸡痛风,代谢/管理病因,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
