calibration_id,case_id,disease_name,source_file,source_type,success,final_label,final_total_score,needed_arbitration,judge_a_total_score,judge_b_total_score,prescription_or_drugs,withdrawal_period_text,recommended_use,notes
CAL-001,372079a9-e393-4af7-a277-ab6eeb43fb59,鸡白痢,chicken_disease_dataset_production_20260421_214500.csv,production_csv,成功,pass,91.5,否,83.0,100.0,"氟苯尼考溶液, 复合维生素B溶液","氟苯尼考：蛋鸡产蛋期禁用，肉鸡休药期为5天。",golden_anchor,"典型 pass 正例；虽然 A/B 分差较大，但最终通过，可用于校准双裁判加权策略。"
CAL-002,2bbc8b7f-4326-4d0c-935e-7c4d8b830ba3,维生素缺乏症,chicken_disease_dataset_production_20260421_214500.csv,production_csv,成功,pass,92.0,否,84.0,100.0,"复合维生素B","所用复合维生素B为营养补充剂，无休药期要求。",golden_anchor,"营养补充剂无休药期的高置信正例。"
CAL-003,aae44421-7e1c-4f68-9e74-2fb781a6a1cb,热应激,chicken_disease_dataset_production_20260421_214500.csv,production_csv,成功,pass,98.5,否,97.0,100.0,"电解多维, 碳酸氢钠, 维生素C, 氯化钾","所用药物（电解多维、碳酸氢钠、维生素C、氯化钾）均无需休药期。",golden_anchor,"抗应激与电解质类正例；适合校准 none/0 withdrawal。"
CAL-004,4f5605c2-bf81-45d6-a74d-059219f25884,鸡球虫病,chicken_disease_dataset_production_20260422_114720.csv,production_csv,成功,pass,90.0,否,90.0,90.0,"地克珠利溶液, 维生素K3粉, 复合维生素B溶液","地克珠利：鸡的休药期为5天。维生素K3及B族维生素无休药期要求。",golden_anchor,"寄生虫病正例；适合生成药物-休药期联合标定样本。"
CAL-005,83bf6459-f573-4394-aa88-20cad76a3197,禽流感,chicken_disease_dataset_production_20260421_214500.csv,production_csv,成功,review,88.5,是,83.0,94.0,"盐酸多西环素, 黄芪多糖, 电解多维","盐酸多西环素休药期28天；黄芪多糖和电解多维无休药期。",arbiter_gray,"灰区样本；需要仲裁，适合做 review 池。"
CAL-006,ca4792db-bf5b-4bf4-b8df-eee675866fd6,坏死性肠炎,chicken_disease_dataset_production_20260421_214500.csv,production_csv,成功,review,85.0,是,70.0,100.0,"甲硝唑, 硫酸新霉素, 维生素类","甲硝唑停药期28天，硫酸新霉素停药期14天。",arbiter_gray,"高风险 review 样本；A/B 分歧极大，应进入人工复核。"
CAL-007,f14e5b4c-2733-405d-909c-1fc8f65f0db5,传染性喉气管炎,chicken_disease_dataset_production_20260421_214500.csv,production_csv,成功,review,89.0,是,78.0,100.0,"盐酸多西环素, 氨茶碱, 电解多维","盐酸多西环素蛋鸡停药后鸡蛋休药期至少7天；氨茶碱鸡蛋休药期至少5天。",arbiter_gray,"同时包含蛋鸡用药限制和鸡蛋休药期，适合作为合规性灰区样本。"
CAL-008,a1893c99-e645-416d-a848-fa855015b7af,坏死性肠炎,chicken_disease_dataset_production_20260421_214500.csv,production_csv,成功,reject,73.0,是,73.0,100.0,"林可霉素, 甲硝唑, 蒙脱石散","林可霉素：肉鸡休药期5天；甲硝唑：肉鸡休药期28天。",hard_negative,"明确 reject 反例；甲硝唑导致高风险合规问题。"
CAL-009,392047f1-1ad1-4c6c-a942-95c372c5ad5a,坏死性肠炎,chicken_disease_dataset_production_20260421_214500.csv,production_csv,成功,reject,74.0,是,74.0,93.0,"林可霉素, 甲硝唑","甲硝唑建议治疗鸡只不作食用，常规休药期参考28天。",hard_negative,"高风险 reject 样本；可用于训练模型识别不可入黄金集的方案。"
CAL-010,c51c0241-3cd4-49a5-b34d-cd40106d6866,大肠杆菌病,chicken_disease_dataset_production_20260421_214500.csv,production_csv,失败,, ,否,,,,"氟苯尼考, 恩诺沙星","氟苯尼考：鸡，弃蛋期5天；恩诺沙星：鸡，弃蛋期8天。",rule_only,"生成/评估失败但休药期文本有价值，适合只进入规则抽取池，不进入黄金标定池。"
CAL-011,6440d608-9089-45e8-b717-608876158d03,矿物质缺乏症,chicken_disease_dataset_20260414_101623.csv,historical_csv,成功,,94,,94,98,"复合维生素AD3E粉, 葡萄糖酸钙粉, 磷酸氢钙粉","均属于营养补充剂，无休药期要求。",golden_anchor,"旧版中文结果集中的稳定正例，应保留作回归测试。"
CAL-012,传染性喉气管炎-001,,11.19打分版本(带统计).xlsx,manual_rating_sheet,成功,,100,,,,"香根霰, 复倍喜, 维生素K3, 注射用青霉素钾-400万","",manual_positive,"人工高分处方正例，适合做疾病-药物共现先验。"
CAL-013,传染性支气管炎-001,,11.19打分版本(带统计).xlsx,manual_rating_sheet,成功,,100,,,,"藿香正气口服液, 多西欣50%, 复倍喜, 大华农利高欣, 康肾佳, 大华农泰乐欣","",manual_positive,"人工高分处方正例，适合做药物组合示范。"
CAL-014,组织滴虫病-001,,11.19打分版本(带统计).xlsx,manual_rating_sheet,成功,,0,,,,"阿苯达唑混悬液","",manual_negative,"人工低分反例；适合做疾病-药物错配样本。"
CAL-015,组织滴虫病-002,,11.19打分版本(带统计).xlsx,manual_rating_sheet,成功,,0,,,,"阿苯达唑混悬液, 施美佳","",manual_conflict,"评分为 0 但原表优秀标签冲突，适合作为人工复核冲突样本。"
