drug_id,page_relpath,usage_scope,source_trust,evidence_coverage,authority_level,positive_generation_allowed,negative_trap_allowed,evaluation_allowed,requires_rule_cards,source_ids,blocked_reason
DRUG-001-avermectins,wiki/drugs/DRUG-001-avermectins.md,negative_trap,authoritative,complete,SRC,false,true,true,RC-CITATION-001;RC-DRUG-001,SRC-0080;SRC-0082;SRC-0087;SRC-0089;SRC-0090,positive claim requires A0 or label-level source
DRUG-002-ivermectin,wiki/drugs/DRUG-002-ivermectin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001,A0-MOA-LABEL-INSTRUCTION-RULES-2002;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0080;SRC-0082;SRC-0087;SRC-0088;SRC-0089;SRC-0090,
DRUG-003-doramectin,wiki/drugs/DRUG-003-doramectin.md,negative_trap,authoritative,complete,SRC,false,true,true,RC-CITATION-001;RC-DRUG-001,SRC-0080;SRC-0082;SRC-0088;SRC-0089;SRC-0090,positive claim requires A0 or label-level source
DRUG-004-fenbendazole,wiki/drugs/DRUG-004-fenbendazole.md,negative_trap,authoritative,complete,SRC,false,true,true,RC-CITATION-001;RC-DRUG-001,SRC-0082;SRC-0088;SRC-0090,positive claim requires A0 or label-level source
DRUG-005-benzimidazoles,wiki/drugs/DRUG-005-benzimidazoles.md,negative_trap,authoritative,complete,SRC,false,true,true,RC-CITATION-001;RC-DRUG-001,SRC-0082;SRC-0088;SRC-0092,positive claim requires A0 or label-level source
DRUG-006-anticoccidials,wiki/drugs/DRUG-006-anticoccidials.md,negative_trap,authoritative,complete,SRC,false,true,true,RC-CITATION-001;RC-DRUG-001,SRC-0081;SRC-0091;SRC-0092,positive claim requires A0 or label-level source
DRUG-007-antimicrobials,wiki/drugs/DRUG-007-antimicrobials.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-POLICY;RULE-HANDBOOK-PRESCRIPTION-001;SRC-0057;SRC-0087;SRC-0092,
DRUG-008-food-animal-banned-drug-list,wiki/drugs/DRUG-008-food-animal-banned-drug-list.md,audit_only,authoritative,minimal,A0,false,false,false,RC-DRUG-001,A0-MOA-BANNED-DRUG-250-POLICY,blocked_or_insufficient_evidence
DRUG-009-penicillin-g,wiki/drugs/DRUG-009-penicillin-g.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0062;SRC-0065;SRC-0075;SRC-0087;SRC-0089;SRC-0090;SRC-0092,
DRUG-010-amoxicillin,wiki/drugs/DRUG-010-amoxicillin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001,A0-MOA-AMOXICILLIN-INJECTION-332-2020;A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-PRESCRIPTION-2471-2016;A0-MOA-WITHDRAWAL-278;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0012;SRC-0062;SRC-0063;SRC-0075;SRC-0088;SRC-0089;SRC-0090,
DRUG-011-ceftiofur,wiki/drugs/DRUG-011-ceftiofur.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-CEFTIOFUR-SODIUM-INJECTION-2024;A0-MOA-LABEL-INSTRUCTION-RULES-2002;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0012;SRC-0059;SRC-0063;SRC-0070;SRC-0074;SRC-0075;SRC-0088;SRC-0089;SRC-0090,
DRUG-012-florfenicol,wiki/drugs/DRUG-012-florfenicol.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001,A0-MOA-ANNOUNCEMENT-1738-VET-DRUG-CANCELLATION-2012;A0-MOA-ANNOUNCEMENT-995-FLORFENICOL-2026;A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-FLORFENICOL-INJECTION-219-2019;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-VET-DRUG-SUPERVISION-2026;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0012;SRC-0069;SRC-0073;SRC-0075;SRC-0087;SRC-0088;SRC-0089;SRC-0090,
DRUG-013-tiamulin,wiki/drugs/DRUG-013-tiamulin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0012;SRC-0069;SRC-0071;SRC-0077;SRC-0087;SRC-0088;SRC-0089;SRC-0090,
DRUG-014-lincomycin,wiki/drugs/DRUG-014-lincomycin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0069;SRC-0074;SRC-0075;SRC-0077;SRC-0087;SRC-0088;SRC-0089;SRC-0090,
DRUG-015-tylosin,wiki/drugs/DRUG-015-tylosin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0012;SRC-0059;SRC-0069;SRC-0071;SRC-0077;SRC-0088;SRC-0089;SRC-0090,
DRUG-016-tylvalosin,wiki/drugs/DRUG-016-tylvalosin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0071;SRC-0077;SRC-0091,
DRUG-017-tulathromycin,wiki/drugs/DRUG-017-tulathromycin.md,negative_trap,authoritative,partial,A0,false,true,false,RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0059;SRC-0070;SRC-0088,positive claim requires A0 or label-level source
DRUG-018-enrofloxacin,wiki/drugs/DRUG-018-enrofloxacin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001,A0-MOA-ANNOUNCEMENT-1011-ENROFLOXACIN-2026;A0-MOA-ANNOUNCEMENT-1738-VET-DRUG-CANCELLATION-2012;A0-MOA-ANNOUNCEMENT-55-ENROFLOXACIN-2018;A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-ENROFLOXACIN-SOLUTION-55-2018;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-VET-DRUG-SUPERVISION-2026;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;RULE-HANDBOOK-PRESCRIPTION-001;SRC-0012;SRC-0059;SRC-0063;SRC-0070;SRC-0075;SRC-0087;SRC-0088;SRC-0089;SRC-0090,
DRUG-019-oxytetracycline,wiki/drugs/DRUG-019-oxytetracycline.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001,A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-WITHDRAWAL-278;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0012;SRC-0062;SRC-0065;SRC-0067;SRC-0069;SRC-0070;SRC-0075;SRC-0087;SRC-0088;SRC-0089;SRC-0090,
