fact_id,fact_type,subject,predicate,object,fact_confidence,evidence_source,evidence_source_id,evidence_url,evidence_quote_span,evidence_status,applies_to_species,applies_to_stage,jurisdiction
DIS-001-category,disease_attribute,鸡白痢,category,细菌病,0.80,disease_page_seed_or_primary_source,SRC-0029,,,EXTRACTED,chicken,all_stages,Global
DIS-002-category,disease_attribute,鸡球虫病,category,寄生虫病,0.80,disease_page_seed_or_primary_source,SRC-0030,,,EXTRACTED,chicken,all_stages,Global
DIS-003-category,disease_attribute,传染性支气管炎,category,病毒病,0.80,disease_page_seed_or_primary_source,SRC-0031,,,EXTRACTED,chicken,all_stages,Global
DIS-003-official-status,disease_regulatory_status,传染性支气管炎,official_china_status,China official category III animal disease,0.95,disease_page_seed_or_cn_anchor,SRC-0031,,,EXTRACTED,chicken,all_stages,CN
DIS-004-category,disease_attribute,热应激,category,环境/管理病因,0.80,disease_page_seed_or_primary_source,SRC-0032,,,EXTRACTED,chicken,all_stages,Global
DIS-005-category,disease_attribute,维生素缺乏症,category,营养代谢病,0.80,disease_page_seed_or_primary_source,SRC-0033,,,EXTRACTED,chicken,all_stages,Global
DIS-006-category,disease_attribute,大肠杆菌病,category,细菌病,0.80,disease_page_seed_or_primary_source,SRC-0034,,,EXTRACTED,chicken,all_stages,Global
DIS-007-category,disease_attribute,坏死性肠炎,category,细菌病,0.80,disease_page_seed_or_primary_source,SRC-0035,,,EXTRACTED,chicken,all_stages,Global
DIS-008-category,disease_attribute,禽流感,category,重大疫病,0.80,disease_page_seed_or_primary_source,SRC-0019,,,EXTRACTED,chicken,all_stages,Global
DIS-008-official-status,disease_regulatory_status,禽流感,official_china_status,China official avian influenza framework: HPAI category I / LPAI category III,0.95,disease_page_seed_or_cn_anchor,SRC-0019,,,EXTRACTED,chicken,all_stages,CN
DIS-009-category,disease_attribute,新城疫,category,重大病毒病,0.80,disease_page_seed_or_primary_source,SRC-0020,,,EXTRACTED,chicken,all_stages,Global
DIS-009-official-status,disease_regulatory_status,新城疫,official_china_status,China official category II animal disease,0.95,disease_page_seed_or_cn_anchor,SRC-0020,,,EXTRACTED,chicken,all_stages,CN
DIS-010-category,disease_attribute,传染性法氏囊病,category,病毒病,0.80,disease_page_seed_or_primary_source,SRC-0036,,,EXTRACTED,chicken,all_stages,Global
DIS-010-official-status,disease_regulatory_status,传染性法氏囊病,official_china_status,China official category III animal disease,0.95,disease_page_seed_or_cn_anchor,SRC-0036,,,EXTRACTED,chicken,all_stages,CN
DIS-011-category,disease_attribute,马立克病,category,肿瘤性病毒病,0.80,disease_page_seed_or_primary_source,SRC-0037,,,EXTRACTED,chicken,all_stages,Global
DIS-011-official-status,disease_regulatory_status,马立克病,official_china_status,China official category III animal disease,0.95,disease_page_seed_or_cn_anchor,SRC-0037,,,EXTRACTED,chicken,all_stages,CN
DIS-012-category,disease_attribute,传染性喉气管炎,category,病毒病,0.80,disease_page_seed_or_primary_source,SRC-0038,,,EXTRACTED,chicken,all_stages,Global
DIS-012-official-status,disease_regulatory_status,传染性喉气管炎,official_china_status,China official category III animal disease,0.95,disease_page_seed_or_cn_anchor,SRC-0038,,,EXTRACTED,chicken,all_stages,CN
DIS-013-category,disease_attribute,鸡支原体病,category,细菌样病原,0.80,disease_page_seed_or_primary_source,SRC-0039,,,EXTRACTED,chicken,all_stages,Global
DIS-014-category,disease_attribute,禽霍乱,category,细菌病,0.80,disease_page_seed_or_primary_source,SRC-0040,,,EXTRACTED,chicken,all_stages,Global
DIS-015-category,disease_attribute,传染性鼻炎,category,细菌病,0.80,disease_page_seed_or_primary_source,SRC-0041,,,EXTRACTED,chicken,all_stages,Global
DIS-016-category,disease_attribute,禽痘,category,病毒病,0.80,disease_page_seed_or_primary_source,SRC-0042,,,EXTRACTED,chicken,all_stages,Global
DIS-016-official-status,disease_regulatory_status,禽痘,official_china_status,China official category III animal disease,0.95,disease_page_seed_or_cn_anchor,SRC-0042,,,EXTRACTED,chicken,all_stages,CN
DIS-017-category,disease_attribute,曲霉菌病,category,真菌病,0.80,disease_page_seed_or_primary_source,SRC-0043,,,EXTRACTED,chicken,all_stages,Global
DIS-018-category,disease_attribute,葡萄球菌病,category,细菌病,0.80,disease_page_seed_or_primary_source,SRC-0044,,,EXTRACTED,chicken,all_stages,Global
DIS-019-category,disease_attribute,肉毒梭菌中毒,category,中毒病,0.80,disease_page_seed_or_primary_source,SRC-0045,,,EXTRACTED,chicken,all_stages,Global
DIS-020-category,disease_attribute,组织滴虫病,category,寄生虫病,0.80,disease_page_seed_or_primary_source,SRC-0046,,,EXTRACTED,chicken,all_stages,Global
DIS-021-category,disease_attribute,鸡蛔虫病,category,寄生虫病,0.80,disease_page_seed_or_primary_source,SRC-0047,,,EXTRACTED,chicken,all_stages,Global
DIS-022-category,disease_attribute,鸡绦虫病,category,寄生虫病,0.80,disease_page_seed_or_primary_source,SRC-0048,,,EXTRACTED,chicken,all_stages,Global
DIS-023-category,disease_attribute,霉菌毒素中毒,category,中毒/饲料问题,0.80,disease_page_seed_or_primary_source,SRC-0049,,,EXTRACTED,chicken,all_stages,Global
DIS-024-category,disease_attribute,脂肪肝出血综合征,category,营养代谢病,0.80,disease_page_seed_or_primary_source,SRC-0050,,,EXTRACTED,chicken,all_stages,Global
DIS-025-category,disease_attribute,腹水综合征,category,代谢/管理病因,0.80,disease_page_seed_or_primary_source,SRC-0051,,,EXTRACTED,chicken,all_stages,Global
DIS-026-category,disease_attribute,笼养蛋鸡疲劳症,category,营养代谢病,0.80,disease_page_seed_or_primary_source,SRC-0052,,,EXTRACTED,chicken,all_stages,Global
DIS-027-category,disease_attribute,啄癖,category,行为/管理问题,0.80,disease_page_seed_or_primary_source,SRC-0053,,,EXTRACTED,chicken,all_stages,Global
DIS-028-category,disease_attribute,氨气刺激性呼吸道病,category,环境/管理病因,0.80,disease_page_seed_or_primary_source,SRC-0054,,,EXTRACTED,chicken,all_stages,Global
DIS-029-category,disease_attribute,鸡伤寒,category,细菌病,0.80,disease_page_seed_or_primary_source,SRC-0055,,,EXTRACTED,chicken,all_stages,Global
DIS-030-category,disease_attribute,禽脑脊髓炎,category,病毒病,0.80,disease_page_seed_or_primary_source,SRC-0056,,,EXTRACTED,chicken,all_stages,Global
DIS-031-category,disease_attribute,卵黄囊感染,category,细菌病,0.80,disease_page_seed_or_primary_source,SRC-0087,,,EXTRACTED,chicken,all_stages,Global
DIS-032-category,disease_attribute,卵黄性腹膜炎,category,细菌病,0.80,disease_page_seed_or_primary_source,SRC-0118,,,EXTRACTED,chicken,all_stages,Global
DIS-033-category,disease_attribute,鸡痛风,category,代谢/管理病因,0.80,disease_page_seed_or_primary_source,SRC-0119,,,EXTRACTED,chicken,all_stages,Global
DIS-034-category,disease_attribute,禽副伤寒,category,细菌病,0.80,disease_page_seed_or_primary_source,SRC-0120,,,EXTRACTED,chicken,all_stages,Global
DIS-035-category,disease_attribute,坏疽性皮炎,category,细菌病,0.80,disease_page_seed_or_primary_source,SRC-0121,,,EXTRACTED,chicken,all_stages,Global
DIS-036-category,disease_attribute,高致病性禽流感,category,病毒病,0.80,disease_page_seed_or_primary_source,SRC-0014,,,EXTRACTED,chicken,all_stages,Global
DIS-037-category,disease_attribute,鸡红螨病,category,寄生虫病,0.80,disease_page_seed_or_primary_source,SRC-0075,,,EXTRACTED,chicken,all_stages,Global
DIS-038-category,disease_attribute,禽白血病,category,病毒病,0.80,disease_page_seed_or_primary_source,SRC-0018,,,EXTRACTED,chicken,all_stages,Global
DIS-039-category,disease_attribute,网状内皮组织增生症,category,待分类,0.80,disease_page_seed_or_primary_source,SRC-0083,,,EXTRACTED,chicken,all_stages,Global
DIS-040-category,disease_attribute,鸡传染性贫血,category,病毒病,0.80,disease_page_seed_or_primary_source,SRC-0084,,,EXTRACTED,chicken,all_stages,Global
DIS-041-category,disease_attribute,病毒性关节炎,category,病毒病,0.80,disease_page_seed_or_primary_source,SRC-0106,,,EXTRACTED,chicken,all_stages,Global
DIS-042-category,disease_attribute,包涵体肝炎和肝炎心包积液综合征,category,病毒病,0.80,disease_page_seed_or_primary_source,SRC-0086,,,EXTRACTED,chicken,all_stages,Global
DIS-043-category,disease_attribute,脐炎,category,细菌病,0.80,disease_page_seed_or_primary_source,SRC-0087,,,EXTRACTED,chicken,all_stages,Global
DIS-044-category,disease_attribute,溃疡性肠炎,category,细菌病,0.80,disease_page_seed_or_primary_source,SRC-0088,,,EXTRACTED,chicken,all_stages,Global
DIS-045-category,disease_attribute,念珠菌病,category,真菌/霉菌相关,0.80,disease_page_seed_or_primary_source,SRC-0089,,,EXTRACTED,chicken,all_stages,Global
DIS-046-category,disease_attribute,肠球菌病,category,细菌病,0.80,disease_page_seed_or_primary_source,SRC-0090,,,EXTRACTED,chicken,all_stages,Global
DIS-047-category,disease_attribute,轮状病毒感染,category,待分类,0.80,disease_page_seed_or_primary_source,SRC-0092,,,EXTRACTED,chicken,all_stages,Global
DIS-048-category,disease_attribute,小核糖核酸病毒感染,category,待分类,0.80,disease_page_seed_or_primary_source,SRC-0093,,,EXTRACTED,chicken,all_stages,Global
DIS-049-category,disease_attribute,鸡心包积液综合征,category,病毒病,0.80,disease_page_seed_or_primary_source,SRC-0096,,,EXTRACTED,chicken,all_stages,Global
DIS-050-category,disease_attribute,禽丹毒,category,待分类,0.80,disease_page_seed_or_primary_source,SRC-0098,,,EXTRACTED,chicken,all_stages,Global
DIS-051-category,disease_attribute,弯曲杆菌感染,category,细菌病,0.80,disease_page_seed_or_primary_source,SRC-0099,,,EXTRACTED,chicken,all_stages,Global
DIS-052-category,disease_attribute,偏肺病毒感染,category,待分类,0.80,disease_page_seed_or_primary_source,SRC-0100,,,EXTRACTED,chicken,all_stages,Global
DIS-053-category,disease_attribute,隐孢子虫病,category,待分类,0.80,disease_page_seed_or_primary_source,SRC-0101,,,EXTRACTED,chicken,all_stages,Global
DIS-054-category,disease_attribute,禽结核病,category,待分类,0.80,disease_page_seed_or_primary_source,SRC-0102,,,EXTRACTED,chicken,all_stages,Global
DIS-055-category,disease_attribute,鸡产蛋下降综合征,category,待分类,0.80,disease_page_seed_or_primary_source,SRC-0104,,,EXTRACTED,chicken,all_stages,Global
DIS-056-category,disease_attribute,鸡病毒性关节炎,category,病毒病,0.80,disease_page_seed_or_primary_source,SRC-0106,,,EXTRACTED,chicken,all_stages,Global
DIS-057-category,disease_attribute,滑液囊支原体感染,category,待分类,0.80,disease_page_seed_or_primary_source,SRC-0113,,,EXTRACTED,chicken,all_stages,Global
DIS-058-category,disease_attribute,禽螺旋体病,category,待分类,0.80,disease_page_seed_or_primary_source,SRC-0114,,,EXTRACTED,chicken,all_stages,Global
DIS-059-category,disease_attribute,禽衣原体病,category,待分类,0.80,disease_page_seed_or_primary_source,SRC-0116,,,EXTRACTED,chicken,all_stages,Global
DIS-060-category,disease_attribute,住白细胞虫病,category,待分类,0.80,disease_page_seed_or_primary_source,SRC-0117,,,EXTRACTED,chicken,all_stages,Global
drug-page-wiki-drugs-二氟沙星-md,drug_index_entry,二氟沙星,page_relpath,wiki/drugs/二氟沙星.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-054-二氟沙星-md,drug_index_entry,二氟沙星,page_relpath,wiki/drugs/rule_cards/RULE-054-二氟沙星.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-二硝托胺-md,drug_index_entry,二硝托胺,page_relpath,wiki/drugs/二硝托胺.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-035-二硝托胺-md,drug_index_entry,二硝托胺,page_relpath,wiki/drugs/rule_cards/RULE-035-二硝托胺.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-036-二硝托胺-md,drug_index_entry,二硝托胺,page_relpath,wiki/drugs/rule_cards/RULE-036-二硝托胺.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-卡巴氧-md,drug_index_entry,卡巴氧,page_relpath,wiki/drugs/卡巴氧.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-015-卡巴氧-md,drug_index_entry,卡巴氧,page_relpath,wiki/drugs/rule_cards/RULE-015-卡巴氧.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-吉他霉素-md,drug_index_entry,吉他霉素,page_relpath,wiki/drugs/吉他霉素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-046-吉他霉素-md,drug_index_entry,吉他霉素,page_relpath,wiki/drugs/rule_cards/RULE-046-吉他霉素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-047-吉他霉素-md,drug_index_entry,吉他霉素,page_relpath,wiki/drugs/rule_cards/RULE-047-吉他霉素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-四环素-md,drug_index_entry,四环素,page_relpath,wiki/drugs/四环素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-043-四环素-md,drug_index_entry,四环素,page_relpath,wiki/drugs/rule_cards/RULE-043-四环素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-044-四环素-md,drug_index_entry,四环素,page_relpath,wiki/drugs/rule_cards/RULE-044-四环素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-土霉素-md,drug_index_entry,土霉素,page_relpath,wiki/drugs/土霉素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-041-土霉素-md,drug_index_entry,土霉素,page_relpath,wiki/drugs/rule_cards/RULE-041-土霉素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-042-土霉素-md,drug_index_entry,土霉素,page_relpath,wiki/drugs/rule_cards/RULE-042-土霉素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-地克珠利-md,drug_index_entry,地克珠利,page_relpath,wiki/drugs/地克珠利.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-005-地克珠利-md,drug_index_entry,地克珠利,page_relpath,wiki/drugs/rule_cards/RULE-005-地克珠利.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-006-地克珠利-md,drug_index_entry,地克珠利,page_relpath,wiki/drugs/rule_cards/RULE-006-地克珠利.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-复方氨苄西林-md,drug_index_entry,复方氨苄西林,page_relpath,wiki/drugs/复方氨苄西林.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-023-复方氨苄西林-md,drug_index_entry,复方氨苄西林,page_relpath,wiki/drugs/rule_cards/RULE-023-复方氨苄西林.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-024-复方氨苄西林-md,drug_index_entry,复方氨苄西林,page_relpath,wiki/drugs/rule_cards/RULE-024-复方氨苄西林.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-复方磺胺氯哒嗪钠-md,drug_index_entry,复方磺胺氯哒嗪钠,page_relpath,wiki/drugs/复方磺胺氯哒嗪钠.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-071-复方磺胺氯哒嗪钠-md,drug_index_entry,复方磺胺氯哒嗪钠,page_relpath,wiki/drugs/rule_cards/RULE-071-复方磺胺氯哒嗪钠.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
